,口コミ,投稿日
369,今回、チェックイン時は曇ってて富士山の方向が判らず、日没時も食事の時間予約をしちゃったので全然方向感が判らず、？？って感じでした。でも、夜中には晴れ上がって、きれいな星空が部屋から見られてとても最高でした。当然、翌日は朝から富士山の初冠雪姿が目の前にあって思わず拝みたくなる感じでした。,2020/9/29
370,キレイな富士山が見たくなって、こちらの宿を初めて利用させていただきました。ところが2日間とも雨で、富士山は全く見えず残念でした。ですが、バイキングの食事も美味しかったし、お風呂もゆっくりと入れたし、何より11時チェックアウトだったので、朝食のあともお風呂に入ることが出来たのも嬉しかったです。機会があれば、また利用したいです。,2020/9/27
371,ホテルの場所が眺めのいいところで、駐車場も広くロープウェイの駅も近いため車以外でも便利かなと思います。夕食のバイキングは質、量ともに大満足で、おいしくて食べすぎ注意です。朝食もバイキングですが朝から色々食べられて、オムレツが特に美味しくておススメです。女性のお風呂の露天風呂の温度がちょっと高くあまり入れなくて残念でした。スタッフの対応は感じよく気持ちよく過ごせました。今回は台風のため天候が悪く富士山が見れませんでしたが、雨の景色も悪くなかったです。今度は車以外でも来ようかなぁと思います。,2020/9/27
372,第一印象が、感染症対策しっかりしてるなーでした。ご飯もバイキングで少し心配がありましたが、しっかりとした対策をされていて心の底から楽しむことが出来ました。お部屋も広く、お部屋にお風呂が付いているプランを選びましたがお風呂もとても気持ち良かったです。お部屋も館内もとても綺麗でした。タオルが少し汚れていたことが少し残念でしたが、、、それ以外は全てにおいて満足でした。ありがとうございます！,2020/9/27
373,今回初めて利用させてもらいました。この時期不安でしたが、お風呂の脱衣場の所など従業員の方がいらっしゃって、ロッカーの中など消毒して下さり、至る所にも消毒が置いてあったり、食事も小分けになってラップもしっかりしてあって、ありがたかったです。食事の時のスタッフさんはとても感じのいい方で、すごく気が利く方でした。お風呂もとても気持ちよかったです。天気が良くなかったので、富士山は見れませんでしたが大満足です。部屋風呂も温泉では無いですが、とても気持ちよく主人は大浴場より部屋風呂の方が気に入っていました。ただお部屋にエアコン調節がなく寒かったのが残念でした。なので、ヒーターをお借りしました。食事も朝夕共に大満足でした。またぜひ利用したいホテルです。今回は久々にのんびりゆっくりした時間を過ごさせていただきありがとうございました。,2020/9/26
374,コロナ禍の中での旅行でしたが、満足のいくホテルでした。食事はバイキング料理。どれを取っても旨すぎる。特筆すべきはライブキッチンでのローストビーフ、これご飯を盛ってシェフに渡すとローストビーフ丼にして頂けます。しかも、ご飯の上にローストビーフ乗せただけの物ではなく、1000円超えで食べるようなしっかりとしたローストビーフ丼の完成です。感染防止の観点から、ほとんどの料理の皿一つ一つにラップをかけて提供する、ホントに頭が下がる思いの企業努力だと思います。料理だけでもリピート確定のホテルです。また必ず伺います！あ、一つだけ客室露天風呂の衝立が、雨避けも兼ねているのかな？かなり風呂から近くて圧迫感を感じるかも...少なくとも自分達は感じました。でも気になるのはそのくらい、非常に温泉は満足でした！,2020/9/26
375,露天風呂と部屋から富士山が見たくて富士見和室に宿泊しました。雲っていたためシルエット状態でしたが晴れていたらさぞ近くに見えて山々もきれいだろうと思います。お部屋は古めですがきれいにお掃除されていて広かったです。夕食バイキングの楽しみにしていたローストビーフ！やわらかく厚めにスライスしてくれました。お腹いっぱいでもまた食べたくて量を減らしておかわりしました。(おかわりしないという考えはなかった(^_^;))料理の種類が豊富、盛り付けもきれいで一口サイズも多く女性に向いていると思います。売り切れになることなく、一番遅い時間に予約しても全然余裕で楽しめました。露天風呂は人も少なくてお湯もきれいでいいです！お肌がすべすべになります。今回外国人や団体とほとんど会わなかったので、ストレスが少なかったかも。レストランにはアルコールと手袋がたくさん置かれていましたが、お部屋には用意がなかったのであるとより安心かなと思います。売店の店員さんやお掃除の方も感じがよかったです。売りである富士山をHPにあるようなはっきり美しい姿でみることは天気次第なので、次回宿泊するときは見れたらラッキー位な気持ちで宿泊したいと思います。,2020/9/24
376,セールスポイントの富士山の見える露天風呂に惹かれて利用させてもらいました。初日は富士山が雲にかくれて見えませんでしたが、翌朝は運よく晴れてばっちり見えました。温泉は温度もちょうどよい感じで、富士山を眺めながら気持ちよく入浴できました。食事は夕・朝食ともメニューも豊富で味も満足ゆくものでした。部屋は禁煙のはずでしたがたばこくさかったので消臭をしっかりされたほうがよいと思います。,2020/9/23
377,家族5人で宿泊しました。子どもは中３、中１、小２です。お部屋は5人家族だと少し狭い感じでしたが、富士山が見えて景色は良かったです。家族連れが多い印象だったので、こどもの騒ぐ声が気になる方には向かないかもと思いました。平日は大丈夫と思いますが･･･夫や子ども達は夕御飯のバイキングに大満足だったみたいです。お寿司、ローストビーフ、すき焼き、デザートも豊富でとても美味しかったです。お風呂は内風呂はぬるめで露天風呂は熱めでしたが、小２の子どもも入れる熱さでした。天気が良く、富士山も見えました。0時まで入れて、朝は5時から利用できました。ホテルから歩いて5分もせずにロープウェイの駅があり、車をホテル駐車場に置いて利用することができました。ホテルの駐車場はチェックアウトしても、15時頃までなら利用しても大丈夫と言われました。Go To トラベル対象宿にもなっており、感染対策もしっかりされてました。Go To トラベル利用される方は家族全員の身分証明書が必要になります。(保険証や運転免許証です。)スタッフの方達は皆さん親切で良い印象でした。今回は久しぶりの家族旅行でしたが、とても思い出に残る内容となりました。ありがとうございました。,2020/9/21
378,初めての箱根旅行で利用させていただきました。山の上にあるので、景観はとても良かったです。残念ながら、曇りで富士山は見えませんでしたが、晴天だったら素晴らしい景色が楽しめたと思います。夕食は、バイキングでしたが子連れだったため、運ぶのが大変でした。トレーやワゴンなど一度に運べる工夫があれば嬉しかったです。味は、とても美味しかったです。大人のグループであれば問題ないのかと思います。部屋の天井や換気扇などにホコリがたまっていたり、清潔感という視点で気になる点がいくつかありました。コロナな世の中なので、感染対策として消毒液はあちこちに設置していましたが清潔感にもう少し配慮していただけるといいのかなと思いました。,2020/9/21
379,久しぶりに箱根に泊まるということで、以前からチェックしていたグリーンプラザ箱根を初めて予約しました。富士山が見えるということが魅力的だったからです。しかし天候が悪く残念ながら富士山を見ることはできませんでした。天気がよければ富士山を見ながら楽しめる露天風呂は最高だと思いました。庭からの景色もきっと素晴らしいのでしょう。食事は夕朝食ともバイキング形式で、品数も多く、美味しかったと思います。他のホテルとは少し異なる料理もあり、同行の家族も満足していました。小鉢の料理はすべてラップがかけられておりコロナ対策も万全でした。消毒作業等、スタッフの皆さんの大変さを見ることができました。今度は天気の良い日を狙って利用したいと思います。,2020/9/20
380,季節と直接外にあるというのもあると思いますが、外のお風呂には花壇にアリやシャワーの上部には蜘蛛の巣、朝起きると浴槽内には芋虫の死骸がありました。これは仕方無いのだと思います。あとはエアコンの風口が長年の使用による黒ずみがあります。これも時間経過により仕方がないと思います。次回は同じ部屋ではなく別のお部屋で伺いたいと思えるほどご飯が凄く美味しく満足でした！！！,2020/9/18
381,gotoトラベルで利用しました。ホテルについて早速「注意事項をお読みください」と。本人確認が必要と言われ、私も子供も保険証のみ。「それでは他にも必要です」と言われたがもちろん持ち合わせてない。じゃらんの申し込みにはどこにも書いていないし、フロントでは文句の嵐。皆さん同じ意見のようでフロントで揉めてる方もいらっしゃいました。他の施設を利用したときは保険証だけでも良かったのにと泊まる前からガッカリ。２度目の利用でしたが嫌な気分でした。受付の方はマスクを着用。それに透明のシールドがあり小声で何を言っているか必死に聞き取らないといけないレベル。声を張ってほしい。食事は絶品。コロナ対策でコバチには一つ一つラップがされており、素晴らしいなと思いました。ただ全体的には本人確認が残念すぎて思い出が微妙な感じです。,2020/9/16
382,宿泊するのは3回目か4回目です。それだけ気に入っています。今回、残念だったのは、お部屋お任せプランを選んでしまったことです。和室でも洋室でもかまわないと思っていましたが、和室で、お布団を自分で敷くとは思ってもいませんでした。これはがっかりでした。,2020/9/16
383,チェックイン時の検温や消毒しっかりされてると思います。ウェルカムドリンクなどなかったのは残念ですが、このご時世だからしょうがないですね。お風呂も気持ちよく入れました。ちょっと露天風呂が熱く子供はなれるまで時間がかかりました。レストランは綺麗です。ライブキッチンで作るメニューは家族満足しました。他のメニューも一つ一つラップがかけてあり安心して食事ができました。子供メニューは少ないのでもう少しあれば小さい子達は喜ぶと思います。あと、忘れたワンプレートで食べれる子供用の食器類もあれば嬉しいです。部屋も和室は広くゆっくりできました。翌日は雨でしたが車に乗る時スタッフの方が車まで濡れないように傘をさしていただき助かりました。ありがとうございました。GO TOを利用しましたがホームページをしっかり見てなく全員分の身分証明が必要なことを知らなく焦りましたが、後日FAXさせていただきました。ホテルグリーンプラザ系のホテルは家族みんな好きなのでまた利用させていただきます。コロナで対応大変だと思いますが頑張ってください。,2020/9/16
384,チェックインの際、凄く混んでいてとても待たされました。ロビーの椅子も少なく案内もしてくれず、子供がひとりで立っていても誰も案内してくれず困りました。チェックインの説明は毎回同じ事を言っている感があり、丁寧ですがとても早口で淡々としていました。隣で受付されている方は何回も質問されてました(笑)。お部屋は広めでベットをくっつけても、小学生の子供と３人で寝ても十分でした。そなえつけのタブレットもあり、ゲーム等して楽しみました。お風呂の現在の天気が見れるのは良いですね(ずっと曇りでしたが)。洗面所はユニットバスなのでとても使いづらかったです。温泉があるので無くてもよいかな。トイレのとなりで顔を洗いたくないし、歯もみがきたくない。夕食は色々な種類があるのを期待していましたが、この状況なのであまり種類がない感じがしました。次に利用する時は富士山を見たいものです。,2020/9/14
385,今まで泊まったホテルの中で1番美味しかったです。温泉の景色はそうでもないが別に問題はなし。また泊まりに来たいと思った。強いてあげるなら何故か部屋の机に前の客だかのクラッカーが入っていたがそれを差し引いても大変満足。,2020/9/14
386,8月12日に泊まりましたが、夏の盛りで気温が高いが、クーラーの効きが非常に悪く、各部屋では、制御できなかった。その旨フロントに伝えると申し訳無さそうに、扇風機を持ってきてくれた。高い料金とっているのだから、改善してほしい。,2020/9/14
387,以前より何回か利用。数ヶ月前より予約をしていました。一度泊まったら、直ぐにでも行きたいホテルです。曜日によって13時、15時より入浴できます。今回は13時より入浴。１人だけお客様がいました。15時よりチェックインですが、15時前に部屋に入ることができました。１人旅ですが、部屋には二人分のセットがありました。17時久しぶりのこちらでのバイキング。しっかり消毒、マスク、ビニール手袋をして会場入り。ブイヤベース、すき焼き、お寿司が気にいりました。その他のホテルもバイキング経験がありますが、こちらのホテルは、バイキング料理の質が高いように思えます。さっそくまた泊まりたいホテルです。,2020/9/13
388,大方満足です。途中、施設の方が部屋を間違えてドアを開けてきたことは驚きましたが･･･コロナ対策で大変でしょうが頑張ってください。,2020/9/13
389,3年前くらいの夏休みに私は急遽行けなくなり祖父母にお願いして娘2人と泊まらせていただきました。良かったよ〜と聞いていたので、いつかは泊まろうと思い、母と家族で泊まりにきました。露天風呂が良かった！夕飯のバイキングはコロナ対策でどのようになるのか心配でしたが、１つ１つ小皿にラップしてあり、お客さんはマスクと手袋をして万全な対応で良かったです。ハイキングは美味しくいただきました。また泊まりにきたいです。,2020/9/13
390,静かな環境でのんびり出来た。バイキングもそれなりに楽しめた。この時期での静かなリゾートムードがインバウンドが戻ったときにどれだけ保てるのか?部屋でWi-Fiを使う時間が長かったが強度があるのにとぎれがちでイライラしたのが残念。,2020/9/10
391,到着して、まず予約の名前が読めなかったのか確認に時間かかりました。それは致し方ない。問題は客の前でこれじゃないとフロントの2人が予約名を確認してあったあったこれだよって…しかもあったのでって客に言う言葉でしょうか？お待たせしました。確認が取れましたくらい言えないのでしょうか？甚だ呆れました。部屋に到着して部屋はゴミは落ちているし、カーテンのフックは外れてるし、食事はバイキングがうりのようですが、このような時期だからなのでしょかねホームページとは雲泥の差。嫌な気分にしかならなかった旅行でした。もちろん私は二度と利用しません。,2020/9/10
392,今回go to campaignを利用しての３部屋三世代で利用させていただきました。正直　旅館はコロナ対策はしていたものの　　多くの方がマスクをされてないで　出歩いてたり　バイキング形式の食事時も対応としてはマスク着用　ビニール手袋着用を義務付けはしてましたが　実際は　結構な人数の方が面倒なのか　付けてないのを散見されました。実際　旅館側も注意等しにくいのが現状なのでしょうが…旅館事態は　対応も良く明るくハキハキとした方が多いと思います　また機会があれば利用したいと思える旅館でした。,2020/9/10
393,3歳の娘と主人と3人で利用しました｡夕食時スタッフの方に｢コロナウイルスの関係でスタッフとお客様の接触を極力控えているので､食器の下膳は各自でお願いします｣と言われました｡徹底しているなあと思っていたのですが､ちょっと皿が空いたらすぐ男性スタッフが声もかけずに下げていくので中々落ち着いて食事が出来ませんでした…｡また娘のアレルギーを伝えていたので何かお話があるのかと思ったのですが特になかっので何の確認だったのかなあと疑問でした｡朝食も夕食も美味しかったです！部屋は少し肌寒かったのと、冷蔵庫の扉側に仕切り？がなかったので飲み物の保管が大変だったのと、ドア部分に蜘蛛の巣がありましたが、他はとても快適でした。ホテルから出発する日なんですが…フロントに行くために3人でエレベーターを待っていたのですが、その場に掃除スタッフの方がいらっしゃいました｡娘が先にエレベーターに乗り込んでしまい､私達も慌てて乗ろうとしたら掃除スタッフさんが先に乗り込みドアを閉められて上にいってしまいました。階段を上るよりも待っていた方がいいという判断で待っていました。2階に戻ってきてドアが開いた瞬間、まさかの【娘がたった1人で】エレベーターに乗っていました。まだ3歳の娘です。文字も数字も読めません。もし途中でエレベーターが止まってたら1人でどうすることもできないのに…1人で乗らせないようにと色々な施設にも書いてあると思います。一緒に降りてきてくれると思っていたばっかりに驚きと怒りでいっぱいです。手をしっかりと繋いでいなかった私達も勿論悪いです。反省しております。その場にいた他の清掃スタッフさん、フロントの外国人スタッフの方にもお伝えはしましたが、きちんと該当清掃スタッフさんに話を通していただけると幸いです。,2020/9/9
394,大涌谷へのロープウェイ駅が、近くにあり部屋から少し大涌谷が望めるロケーションが良かったです。朝食のレストランから、富士山も望めとても良かったです。,2020/9/7
395,女湯からは少し遠いですが露天風呂で富士山も見え景色も素晴らしかったです！バイキングの種類も大変多くテーブルで自分用の鍋ができたりと久々に当たりのホテルだったと心からおもえます！また利用したいと思います！,2020/9/7
396,こちらのホテルでは喫煙所がどの部屋にも面していない中庭を喫煙所として使っていて主人は喫煙者(加熱式タバコ)ですがよくある室内の喫煙スペースよりも外にある分 煙たくも無く(紙タバコの煙は主人も気になるようで)お風呂上がりでも匂いがつく心配もないので嬉しかったポイントみたいでした！コロナ対策で熱を測ったり夕食時のバイキングも手袋着用や小皿提供など安心できました！,2020/9/7
397,お肉もとっても美味しくて味付けのソースや塩なども種類豊富で飽きる事なく食べられました！ソースで悩んでいた所 ライブキッチン担当の方が『こちらのお塩はサッパリしていて尚且つ爽やかな後味なので何回か食べた後でしたら大変オススメですよ☆』っとアドバイスしてくださりそれも嬉しかったです！,2020/9/7
398,夕食バイキングがメニューもとても豊富だしすき焼きや鍋などを自分で取ってきてテーブルで焼いて食べれるのは子供達も大人も大興奮でした！,2020/9/7
399,親戚15人の団体で利用させてもらいました！誕生日のサプライズをしたいと伝えた所夕食時にホールケーキを出してもらえました！(※ケーキ代別途)ロウソクに火をつけ持ってきてもらえておばあちゃんも驚きと喜びでいっぱいでした！！周りのお客様も一緒に拍手をしてくれて素敵な誕生日を祝う事ができました！バイキングも徹底してコロナ対策がされていてとても安心して利用出来ました！,2020/9/7
400,チェックイン時、検温、消毒、アンケート。１番頑張ってると思ったのはビュッフェ。今までなら自分でトングで取るところ、小鉢に分けて盛られていて、小さい小鉢にまで全部サランラップ、スタッフさんが、すぐ片付けてくれて常に新しいもの使い、もちろん、テーブルにアルコール、ビニール手袋もある。今回はクーポンも使わせてもらい、gotoもあり、本当にありがとうございました。次は違う部屋に泊まりに来ます。,2020/9/6
401,母と5年ぶりの旅行でした。温泉が大好きで近くのスーパー銭湯によく行っていた母ですが70歳を超えた母の足元は覚束なく遠のいていました。GOTOキャンペーンを利用してなら手が届くと思い露天風呂付客室のホテルを探した私。ホテルグリーンプラザ箱根にしようと決め、いざ母を誘った所やはり予想通りで大浴場の利用が気がかりだからと気後した返事が返ってきました。露天風呂付客室のお部屋を探したから周りを気にせず自分のペースで大丈夫だし、口コミで料理の評判も良いから女子旅行にはもってこいだから、のんびりしに行こうよ～と伝えると『わぁ～嬉しい～』と素直に喜んでくれ行くと決断してくれた母。正面玄関の生花に感動しては写メを撮り、お部屋に到着して感動しては写メを撮り、料理の小鉢の一つ一つにコロナ対策としてラップが掛けられてるのを見てはスタッフさん達の苦労に感激して写メを撮り、用事で一緒に来れなかった父にSNSで報告している姿が何とも愛らしくもあり、気後れしていた母も満喫していることが伝わって来て私も嬉しくなりました。お部屋とお風呂のマイナスポイントは、客室の露天風呂に手すりが無かったことです。足腰に不自由の無い私にとっては何ら問題もありませんが、高齢の母にとっては洗い場の椅子に座ったり立ち上がるのが一苦労です。介護施設等で利用されているシャワーチェアを希望者に貸出して下さると嬉しいですね。又、湯船に浸かったり出る際に湯船を跨ぐのは高齢者にとっては椅子から立ち上がるよりも大変な事。洗い場と湯船に手すりがあると介助する際にも助かります。お部屋のテーブルセットの椅子の座面の高さが高く母は立ったり座ったりが楽だと喜んでました。食事のビュッフェに御盆を置けるカート？が有ると高齢者に限らずお子さんとご一緒の親御さんは助かると思います。お料理を取る際にお皿を置くスペースが充分に確保されていますがカートに御盆を乗せ、その御盆にお皿を乗せられると高齢者は尚のこと助かると思いますし、小さなお子さん連れの親御さんもお子さんを抱っこして料理を見せてあげながら取りやすいのではないでしょうか？色々書かせて頂きましたが次回は露天風呂付和洋室を利用したいと思っております。コロナで多くのご苦労が有ると思いますが気持ちの良い笑顔の接客にリフレッシュ出来ました。本当にありがとうございました。,2020/9/5
402,初めて利用させて頂きました。温泉恋しくコロナ禍だけど色々考えて口コミを参考に貴ホテルに決めました。検温・消毒液の設置・マスク着用・手袋使用など安心、安全。食事も美味しくローストビーフは特にオススメです。天ぷら揚げたて、寿司はネタを選んで握ってくれる。小鉢にラップも手間暇かかってスタッフの皆さん大変ですね。笑顔絶やさず接客して下さり、お陰でリフレッシュ出来ました。有難うございました。富士山が見えたら満点でした！,2020/9/2
403,部屋→多分下のランクの部屋？なんだと思いますが、十分綺麗で広く感じました。清掃も行き届いていました。夕食、朝食→写真とは一部違いましたが、量や種類も多く満足でした。風呂→狭いと書いてる方がいましたが、十分な広さだと。 店員さんも親切な方が多く、コロナ対策が徹底されていてとても良かったです。,2020/9/1
404,久々の家族旅行、大学生と高校生がいる我が家は旅行の時には必ずビュッフェスタイルと決めています。コロナにより今までビュッフェスタイルだった宿もお部屋食に変更している中、当ホテルは感染防止のために一品ずつラップで包んでおり、私たちが素早く好きなものをチョイス出来るように工夫されていて、気持ちよく食事出来るように、最大限の気配りをして下さいました。お陰様で本当にのんびりとリフレッシュすることが出来ました。ありがとうございました。温泉が最高に良かったのはもちろんですが、やはり夕食・朝食ともに品数が豊富でどれも美味しかったことが一番ですね。中でも夕食のローストビーフは今まで食べてきた中でも一番柔らかく、朝食の牛筋煮込みもとても柔らかく美味しかったです。（困ったことに今回の旅行で食べすぎて太ってしまいました）スタッフの皆様の日ごろからご苦労は本当に大変なものと思います。コロナが終息するまであと少しかかりそうですが、お互いに頑張りましょう！また疲れた時に当ホテルを利用してリフレッシュさせたいと思います。,2020/9/1
405,今回一人旅にて利用しました。先ず受付の方（多分外国籍の方かな？）との応対は、丁寧でした。都度わからないことはありますか？と確認してくださる姿勢は好感。ホテルの教育次第で国籍も関係ないんだなぁとしみじみ思いつつ、部屋へ。部屋は清潔で広くゆったりしているお部屋。スーペリア洋室（って名前かな？）で久々の洋室スタイル（靴を脱がない）にちょっと動揺。全ての部屋がどうかはわかりませんが、お部屋に関しては2点気になったことがあり。・ユニットバスだったのは残念。・電源コンセントをもう少し欲しかった（スマホの充電が場所的にしづらかった…）↑以外の不満点は無かったです。食事はバイキングでしたが、スタッフの方の気遣いと意識の高さに驚きました。料理の味もさることながら品数も多く、出来立ての寿司やステーキ、天ぷら等が味わえるのは最高でした。もし、難点をあげるとしたら席に着いた時点で「90分制である旨」を教えて頂きたかったかな。大浴場については、眺望は良かったが風呂自体は特筆することはなく、普通といった印象。ホテル全般のスタッフさんへの教育はしっかりしているものであり、私も部下の指導係の真似事をしている身としては勝手に勉強させてもらいました(笑)また、利用したいと思いますし、次は露天風呂付き客室を抑えようかとおもいます。では改めて、お世話になりました。,2020/8/31
406,富士山見和洋室に宿泊しました！到着日は曇が多く富士山は見えませんでしたが、翌日早朝起きると朝焼けの中富士山がドーンと部屋からバッチリ！感動モンでした。食事の時のスタッフは厨房の人も含めとても良かった(特に朝食を終え部屋から出る際、受付の若いスタッフが行ってらっしゃいませと声を掛けて頂きとても気持ちが良かった)が、チェックアウトのフロントスタッフは笑顔も無く淡々と事務的に業務を進め、あまり感じ良く無かったのが残念でした。,2020/8/27
407,① チェックイン前検温し ホテルに入り、時間があるので周り散策後、再入場時、検温チェック 女子係員が、顔覚えてくれていて嬉しかった。②早夕食選択の ドリンクサービスは とても良い企画です。③ 温泉も適温で 開放感ある露天風呂が最高でした、次回も利用したい。,2020/8/22
408,キャンペーン利用させて頂きコロナの中、少し不安でしたが日頃の疲れ癒すために家族でお世話になりました。お部屋に露天風呂のついたお部屋に泊まりました。お湯の温度は子供には熱かったようです。すごくお肌ツルツルになります。お部屋も広くて良かったです。富士山も見たかったので、露天風呂にも入らせて貰いました。すごくいい景色最高です。食事のバイキングは、手袋はめてマスクも着用しながら、不便ですが安心して取りに行けました。クチコミでも評価良かったので食事も楽しみにしてました。ほんと美味しかったです。種類もたくさんで味もほんと美味しかった。是非また機会あったらお世話になりたいです。,2020/8/22
409,夕食、朝食ともにブッフェスタイルで種類が豊富でどれも美味しかったです。特にローストビーフ、すき焼きは最高でした!お風呂も露天風呂からは富士山が見えてとても風情がありました。ただ、部屋に入ったら床の真ん中にヘアゴムが落ちているし、シャワールームの排水溝には髪の毛が。あと部屋の空調が全然効いてなくて夜は暑くて眠れないほどでした。だから扇風機があったのかな…これ以外は最高だっただけに残念です。改善されればまたぜひ行きたい宿です。,2020/8/22
410,口コミを見て初めて利用しました。全体を考えたら普通のホテル。けど、夕食のバイキングが素晴らしかった。色々と制限がある中であれだけできるのは素晴らしい。働いている方々も感じいいし、若い男性も沢山いたけど気が利くし、本当に素晴らしかった。部屋に虫が死んでたり、部屋のトイレ、部屋出た廊下が硫黄の臭いがすごかったけど、そんな事をすべて帳消しにするぐらい夕食が素晴らしかった。ありがとう。また、行きやす。ホテルの周りはなんもないから、飲み物、お菓子は忘れずにね。,2020/8/21
411,息子と娘を連れて、久しぶりの家族旅行で箱根へいきました。娘が、「夕食はブッフェがいい」と言っていたので、もともと予約していたホテルはコロナの影響でお弁当になると書かれていたため、ブッフェがあるところを急遽検索。偶然、こちらのホテルを見つけ、写真のイメージだけで、なんとなく良さそうだと感じて予約しました。部屋は和室で、十分な広さがあり、ゆったりと過ごせました。期待した夕食は、コロナの影響か、ほとんどのものが小皿で小分けされていて、取るのに時間もかからず、普段のブッフェよりもさっさと取れて、とてもいいなと感じました。普段なら、前の方が取る間待たなくてはいけないことが多く、行列ができるのが常ですが、今回こちらの夕食では行列は全くできていなくて、すごくスムーズで嬉しかったです。また、お食事会場も広くて明るくて気持ちよかったです。小分けして全部にラップするスタッフの方は大変かと思いますが、お皿も可愛くて、嬉しかったです。朝ごはんの「イカの塩辛」の器は、特に可愛らしくて、娘と何回も「可愛いね！」と言っていました。また、スタッフの方も皆親切で、娘も喜んでいました。フロントの方も、レストランの方も、売店の方も、みなさん丁寧にご対応いただき、ありがとうございました。今回は、お庭を見る時間がなかったので、今度行った時にはお庭をぜひ見たいと思います。清潔感だけが大満足でないのは、たまたまだと思いますが、お風呂にちょっと何かが浮いていたので、その点だけです。ぜひまた泊まりたいと思うホテルです。今度は洋室にしてみたいと思います。みなさん、ありがとうございました。コロナで大変かと思いますが、どうぞ頑張ってくださいね。,2020/8/21
412,部屋に露天風呂がついているのでカップルや夫婦にオススメです。夏とかはあまりオススメしません。虫が結構いるし、ナメクジとかも結構いました。夕食や朝食は大変美味しかったです。,2020/8/15
413,2回目の宿泊です。東京での気温は38℃。ホテルでは28℃。クーラーが要らない位です。富士山はちょいちょい見れました。ご飯はとても美味しいので食べ過ぎに注意！コロナ対策をしながらのバイキン形式。ホテルの努力が感じられました。車で行くには大涌谷駐車場は混んでいるのでロープウェイを利用すると便利です。,2020/8/12
414,露天風呂から富士山が見えるというところに惹かれて、こちらのホテルを利用しました。晴れてはいたものの、少し雲もあり、富士山が全く見えなかったのは残念でした。浴槽自体は大きくないですが、洗い場も多く、利用者がかぶってしまっても大丈夫だと思います。お湯が熱くなかったのも、私にとってはうれしかったです。お風呂から富士山は見えなかったものの、大涌谷も見えるし、中庭のお花の中を散歩するのは気持ちよかったです。ブッフェのコロナ対策は万全でした。特に心配することはないかと思います。料理もどれもおいしかったです。店員さんも声掛けしてくれて、お手伝いしてもらうこともあり、気持ちよく利用させていただきました。私が宿泊した際の利用している方の年齢層は高めだと思います。小さい子供はかなり少なく、ご年配の方が多めでした。お風呂掃除の方が、ずっと座って休んでいるのが気になりました。脱衣所で休まれるのは、こちらが裸でいる時間もあるのであまり良い気分にはならないので、下駄箱付近で休まれるのがよいと思います。気になったのはそこだけです。また機会があったら利用させていただきたいです。,2020/8/10
415,2歳の孫を連れて行きました。ホテルの中を駆け回っていましたが暖かく見守って下さり助かりました。部屋も和洋室で広く使えてよかったです。夕朝食もフルーツなども盛り沢山で子連れに良かったです。もちろん大人にも大変満足なバイキングでした。また箱根に行った際はよろしくお願いします。,2020/8/8
416,コロナ禍ではありますが、十分に注意して利用させてもらいました。ホテル側も十分に注意されており、受付時の消毒や食事の注意など徹底されておりました。お部屋は富士山が見えるお部屋を予約させていただきましたが、丁度梅雨明けに泊まらせていただいた事もあり、残念ながら展望することはできませんでした。次回来た時は見れると嬉しいです。食事もバイキング形式でしたが、手袋を使用する、一部の料理をサランラップで包んである、店員さんはフェイスシードなど、しっかり対策されておりました。中でもローストビーフはとても美味しかったです！また、朝食はかなり遅く行ってしまったため、1番最後まで居させていただき、ご迷惑をおかけしました。ありがとうございました！なお、今回、プロポーズ のためのお力をお借りするために宿泊させていただきました。薔薇の花束を用意していたのですが、ホテルでの受け取り、保管等もしていただき、さらにサプライズにするために誰もいない時に部屋まで届けていただきました。無事サプライズで花束と指輪を渡すことができ、受け取っていただきました。本当に至れり尽くせりで、とても楽しい旅になりました。また次は子供も連れて行ければいいなと思います。色々とありがとうございました！,2020/8/8
417,コロナ予防も万全で、いたるところに消毒液がありました。到着便に受付をしてくれた男性スタッフも、笑顔で一生懸命分説明してくださり、館内を歩いていてすれ違う時に挨拶してくれる時も、いつも笑顔で １番よい対応でした。今回は洋室でしたが、窓から見る景色と中庭がとても美しく、息子が「ここに住みたい」と言ってました(笑)何より夕食のビュッフェが種類も豊富でどれもすごく美味しくて、みなさん言っていたようにローストビーフが最高でした！こんな美味しいローストビーフ今まで食べた事ないです！目の前で握ってくれるお寿司も美味しくて、とにかくどれを食べても美味しい！今まで食べたビュッフェの中でもダントツに１位の美味しさです！！好き嫌いの多い息子も、たくさん食べていました。主人も絶賛で、特にローストビーフは５回位おかわりしていました(笑)小鉢などは全部ラップがしてあってたりなど、安心して食べられました。楽しいひとときを本当にありがとうございました！,2020/8/7
418,入口からスタッフの方に出迎えていただき、とてもさわやかで好印象でした。アルコール消毒等の対策もバッチリで、安心してチェックインできました。温泉も内風呂、露天風呂ともに大きくゆったりできます。朝食、夕食共にとても美味しく満足です。本当にありがとうございました。,2020/8/7
