口コミ,投稿日,preprocessed_text
部屋自体は良かったですが、ホテル内が少々複雑で、迷子になりそうでした(^-^;温泉は、とても気持ちよく細かな心遣いが随所に見られ、良かったです。夕食は個室でゆっくりと頂くことが出来ました。とても美味しかったですし、案内してくれたスタッフの方もとても感じの良い方で、お話も弾みました。,2019-11-17,自体 ホテル 内 複雑 迷子 (^-^; 細か 心遣い 随所 夕食 個室 案内 感じ お話
9月に利用してとても良い時間が過ごせたので再度伺うことに。台風後の影響も出ている箱根を少しでも応援したい！と思い箱根パークス吉野さんに。しかし今回はお部屋がとても残念でした。部屋に入室するなり　カビ臭い。他の方も書き込みされていましたね。洗面台の排水溝、水を流す度に　ゴボゴボ　となる。半露天風呂のヒノキの四隅が黒くカビ？。前回があまりのも良かっただけに残念。　年内にもう一度伺いたいのですが。さて、次回はどうなっているのでしょうか？,2019-11-15,月 時間 台風 後 影響 箱根 応援 思い 箱根 パークス 吉野 残念 入室 カビ 他 洗面 台 排水 溝 水 度 ゴボゴボ ヒノキ 四隅 カビ ?。 前回 残念 年内 次回 ?
子連れで半露天風呂付和室に宿泊しました。夕食はレストランのテーブル席のプランだったはずですが、子連れだったためか、個室に案内されました。夕食は事前に申し出たところ、アレルギーに対応した食材に変更してもらえ、助かりました。【良かった点】・リニューアルされているロビーやレストランは綺麗・ウェルカムコーヒーサービス・レストランと休憩処のキッズスペース・広い客室(12畳)・客室の半露天風呂が温泉・ご飯が美味しい【気になった点】・客室の臭い、汚れ・布団の湿気・貸切風呂が満室で予約出来なかった客室の半露天風呂は檜で気持ちよかったです。ただ他の方の口コミにもある通り、客室は臭い(温泉臭？)が強く、換気しようとエアコンをつけると吹出口から埃が。窓を開けて換気しました。レースのカーテンには、虫を処理した黒ずんだ痕があり、とても残念でした。リニューアルされている部分とされていない部分の差が激しいように感じました。館内には子ども向けの設備や、配慮がたくさんあり、嬉しかったです。夕食も朝食も工夫されており、美味しく頂きました。,2019-11-12,子連れ 付 和室 宿泊 夕食 レストラン テーブル 席 プラン はず 子連れ 個室 案内 夕食 事前 アレルギー 食材 変更 点 リニューアル ロビー レストラン 綺麗 ウェルカムコーヒーサービス・レストラン 休憩 処 キッズスペース・ 客室 ( 畳 ) 客室 ご飯 気 点 客室 汚れ 布団 湿気 貸切 満室 予約 客室 檜 他 口コミ 通り 客室 ( 臭 ?) 換気 エアコン 吹出 口 埃 窓 換気 レース カーテン 虫 処理 痕 残念 リニューアル 部分 部分 差 館内 子ども 向け 設備 配慮 たくさん 夕食 朝食 工夫
部屋は清潔感ありとても良かったです。部屋のお風呂もお湯が豊富に出でて満足。広めの部屋でしたが充電用の延長ケーブルまで用意されてました。ただ夕食のメインの肉料理がレアで連れが食べれず先に焼き方を聞いて貰っても良かったかなーと。他はとても良かったと思いますお世話になりました。,2019-11-12,清潔 感 お湯 豊富 満足 広め 充電 用 延長 ケーブル 用意 夕食 メイン レア 連れ 先 他
ご飯が美味しいと口コミで見ていてとっても期待してました。期待してた通りに本当に美味しくて特に夜の懐石が一品一品美味しくて久しぶりにゆっくり過ごすことが出来ました。お風呂も体の芯まで温まれてとっても心地良かったです。また接客もとても丁寧で常に笑顔ある接客をしてくださった事が嬉しかったです！,2019-11-10,ご飯 口コミ 期待 期待 通り 夜 懐石 一品 一品 久しぶり 体 芯 心地 接客 丁寧 笑顔 接客 事
箱根湯本駅に近い宿を探していたので立地的にはよかったです。ロビーはとても綺麗。部屋からは川が見え景観がよかったです。部屋はリノベーション無しの和風の部屋で設備等が古くトイレなど薄暗いので子供が怖かったようでした。Wi-Fiを使える宿も条件としてここに決めましたがかなり電波が悪くまともに使えなくて残念です。部屋によって当たり外れがあるのかもしれません。朝食バイキングは種類が多くてよかったです。,2019-11-09,箱根湯本 駅 宿 立地 的 ロビー 綺麗 川 見え 景観 リノベーション 無し 和風 設備 等 トイレ 子供 Wi - Fi 宿 条件 電波 まとも 残念 当たり 外れ 朝食 バイキング 種類
今回お世話になりました宿は箱根のパークス吉野さん。ロビーはとてもキレイでした。フロントの応対も良かったです。チェックイン３時でしたが、早めに到着してロビーで待ってると30分も早くお部屋に入れました。部屋は和室で、小さいけど半露天風呂がある客室です。残念だったのが、エアコン入れたら臭くて部屋中匂いがこもってしまい、それ以降エアコン使用できなかった。料理はまあまあ良かったと思います。朝食はバイキング形式で品揃えも良く満足です。機会があれば、またリピートするかもです。,2019-11-08,宿 箱根 パークス 吉野 ロビー キレイ フロント 応対 チェックイン 早め 到着 ロビー 分 和室 客室 残念 エアコン 匂い 以降 エアコン 使用 朝食 バイキング 形式 品 満足 機会 リピート
東京からの移動時間、距離も短く、行きやすい。箱根の宿の中では、料金が手頃でとても居心地が良い。料理の内容も量も、ちょうど良く、レストランスタッフもとても丁寧な応対です。リピーターのお客様が多いのが、納得出来ます。近々、また訪れたいと思います。,2019-11-07,東京 移動 時間 距離 箱根 宿 料金 手頃 居心地 内容 量 レストラン 丁寧 応対 リピーター お客様 納得
部屋から川が見ることができてとても癒されました。帰りは湯本駅までのバスが出ていて便利でした。紅葉を目的にした旅行でしたが、残念ながらまだ紅葉はしていませんでした。東館の部屋に泊まらせていただいたのですが、思っていたよりも広くて快適でした。チェックインを済ませて部屋に行くと既に暖房がきいていました。暖かかったです。朝ごはんは正直あまり期待していなかったのですが、料理数も多く美味しかったです。また箱根に行った際は利用したいです。,2019-11-07,川 帰り 湯本 駅 バス 便利 紅葉 目的 残念 紅葉 東 館 快適 チェックイン 暖房 朝 ごはん 正直 あまり 期待 数 箱根 際
知り合いに紹介されて彼氏との旅行で1泊しました。予約の際、西館の新しい部屋のプランで予約したのですが実際案内されたのが東館のちょっと古い部屋でした。私の間違いだったのかなと思ってましたが夜確認してみたらやっぱり西館で予約していました。今更と思いそのまま宿泊しましたが少し古い匂いがするので気になりました。プラン通りの部屋に案内して頂きたいです。料理はボリュームもちょうどよくとても美味しく満足でした。女性の露天風呂がもっと空が見えたらさらに満足です。部屋以外は良かったので、残念な気持ちになりました。,2019-11-01,知り合い 紹介 彼氏 泊 予約 際 西館 プラン 予約 案内 東 館 私 間違い 夜 確認 西 館 予約 今更 宿泊 匂い 気 プラン 通り 案内 ボリューム 満足 女性 空 満足 以外 残念 気持ち
今回は遅いチェックインでチェックアウトの時間を延長で利用させて頂きました。前回と同じ川が見える部屋で部屋も大浴場もレストランも清潔感があって全体的に過ごしやすい とてめ良いホテルだと思います。大勢いた外国の観光客の方にもテキパキと英語で対応してらっしゃいました。一点だけエアコンから？水がポタンと垂れてました。気になる程ではなかったんですが…是非また利用させて頂きたいと思います。,2019-10-31,チェックイン チェック アウト 時間 延長 前回 川 浴場 レストラン 清潔 感 全体 的 め ホテル 大勢 外国 観光 客 テキパキ 英語 点 エアコン ? 水 ポタン 気 程 是非
夕食の炊き立てご飯とても美味しかったです。食事の量もちょうどよく美味しくいただきました。貸し切り風呂も借りましたが、広々として清潔感もありゆっくり楽しめました。ほんとは檜のお風呂が良かったのですが、人気で時間が取れず残念でした。檜のお風呂を借りたいときは早めのチェックインをお勧めします。ひとつ残念だったのは、お部屋のお布団にシミがついていたことです、、、。,2019-10-28,夕食 ご飯 食事 量 貸し切り 清潔 感 ほんと 檜 人気 時間 残念 檜 早め チェックイン ひとつ 残念 布団 シミ
今回妊婦で利用しました。●良かったところ・夕食が美味しい・朝食がバイキングで楽しい・部屋が広い・アメニティがPOLAと資生堂で女性としては嬉しい・温泉が良質だった・ロビーで無料ドリンクが飲める・帰り箱根湯本駅までの無料送迎バスが使える●ちょっと気になったところ・部屋が湿気の匂いがした・部屋のカーテンが汚れていた・シーツに穴が空いていた・部屋風呂が狭めなので、部屋風呂に期待しているとイマイチかも？です（ただ私自身は、今回は妊婦で大浴場で滑るのが怖く、また温泉重視というよりゆっくりしたかったので個人的にはコスト考えると許容範囲です。）・接客がそこまで良くはない（予約どきに妊婦なので料理を変えて欲しいと問い合わせ欄にいれたが、それに対しての回答が電話でもメールでもなかったので自分で問い合わせた。お風呂で鍵をなくした人に対しての清掃担当の接客がひどかった。夕飯会場の接客はよいです。）部屋が12畳と広く、ゆっくりできました。,2019-10-27,妊婦 夕食 朝食 バイキング アメニティ POLA 資生堂 女性 良質 ロビー 無料 ドリンク 箱根湯本 駅 無料 送迎 バス 気 湿気 匂い カーテン シーツ 穴 期待 イマイチ ? ( 私 自身 妊婦 浴場 重視 個人 的 コスト 許容 範囲 ) 接客 そこ ( 予約 妊婦 問い合わせ 欄 回答 電話 メール 自分 鍵 人 清掃 担当 接客 夕飯 会場 接客 ) 畳
箱根湯本の駅からも徒歩圏内で、値段のわりには大変満足のいく宿でした。卓球台もあり、家族旅行には良いと思います。近くにはコンビニもありました。,2019-10-24,箱根湯本 駅 徒歩 圏内 値段 わり 大変 満足 宿 卓球 台 家族 近く コンビニ
台風後の週末にお世話になりました。混みすぎず、適度な宿泊人数で大浴場も食事処も待たずに楽しむことができました。今回は部屋に半露天風呂がついている部屋を利用したのですが、Webページにあるほど狭くなく楽しめました。一点だけ、今回利用した部屋の臭いが気になりました。消臭剤も置いてありましたが、どこかカビ臭いのが嫌で窓を開けて過ごしていました。部屋にミニマムなもののみだったため、子どもたちが走り回っても安全でよかったです。　,2019-10-21,台風 後 週末 適度 宿泊 人数 浴場 食事 処 Web ページ 点 臭い 気 臭 剤 どこ カビ 嫌 窓 ミニマム 子ども たち 安全
朝食の種類が多くて、どれも美味しくて良かった。ただライブキッチンのオムレツの種類がわかりづらかった。部屋の半露天風呂は洗い場が狭すぎたのと、洗面所も狭かった。部屋は広かったから総合的にはよかったです。,2019-10-20,朝食 種類 ライブ キッチン オムレツ 種類 洗い場 洗面 所 総合 的
朝食だけだんですが、美味しかったです。お風呂も肌がスベスベになったし湯加減も丁度よかったですまた機会があったら来たいホテルです,2019-10-18,朝食 肌 スベスベ 湯 加減 丁度 機会 ホテル
彼女との旅行で利用させていただきました。全体的に綺麗かつ食事も美味しかったです。また機会があれば利用させて頂こうと思います。,2019-10-16,彼女 全体 的 綺麗 食事 機会
お風呂の階と食事処にキッズコーナーがあり、とても助かりました。オモチャも充実していて、とても気に入って遊んでくれていました。0〜5歳位までは遊べるのではないかと思いました。,2019-10-07,階 食事 処 キッズコーナー オモチャ 充実 〜 歳 位
お部屋の露天風呂が狭いとの口コミがありましたが、普通体型の２人では余裕をもって入ることができました。川側でしたので流れる川の音を聞きながらゆったりできました。しかしやはり、口コミ通り、虫が入ってくるのが気になりました。部屋の網戸にも大量の虫や大きなカマキリなどがくっついており鳥肌が立ってしまいました。食事面ではわたしはアレルギーがあるのですが、大変丁寧に配慮してくださりありがたかったです。量もお腹いっぱいでした。全てにおいて普通でしたがありがとうございました。,2019-10-07,口コミ 普通 体型 人 余裕 川 側 川 音 口コミ 通り 虫 気 網戸 大量 虫 カマキリ 鳥肌 食事 面 わたし アレルギー 大変 丁寧 配慮 量 お腹 いっぱい 全て 普通
二度目の宿泊です。悠々自適にお部屋でも温泉を楽しみたいカップルや家族連れ向けのお宿です。モダン和室にリューアルされたお部屋はオシャレで清潔で過ごしやすく、何よりお部屋のお風呂に温泉が引かれているのがとても良いです。お風呂自体も木の良い香りがして、扉を開けるだけで癒されますし、透明な温泉は少しとろっとした泉質で、お肌つるつるでとても温もります。大浴場も男女入れ替えで夜と朝に違った景色が楽しめますし、お部屋と同じくお湯もとても良いです。お夕飯は、目の前で土鍋で炊いてくださるごはんがやはり印象に残ります。ただ、他の印象が今回は薄かったですかね…。もちろん全品美味しかったですが、何かもう一品インパクトがあるものがあれば尚嬉しかったです。お酒はに地酒の飲み比べセットがあり、手頃なお値段で3種飲めたのは嬉しかったです。薔薇梅酒などすこし変わったものもあり、普段飲まない人でも楽しめました。朝食バイキングは、青豆のお豆腐が変わらず美味しかったです。あとその場で調理してくださるオムレツが、外はカリッと中はトロトロという見事な職人技でした。サラダ、洋食、和食、フルーツ、シリアル、デザートと一通りあり、品数が多いわけではないですが必要十分という印象です。あとフロントまわりのラウンジが、ソファや椅子が適度なゆとりで配置されていて、雑誌や本があったり、コーヒーサーバーがあったりして、ゆったりと過ごせる空間になっています。売店は小さいので前の宿泊で買い物した私たちには目新しいものがなく、今回は利用しませんでした。小さいですが土産用のお菓子からおつまみ、お箸などの小物まで適度に揃っていて、使い勝手はいいと思います。総じて良くも悪くも「適度なサービス」という感じで、老舗旅館のようなきめ細やかな接客などはありません。私たちのように三々五々、のんびり温泉を楽しみたい方にはとても良いお宿だと思います。なによりこのお値段でお部屋の内風呂が木製で温泉が楽しめるのは最高です。ありがとうございました。また機会があれば利用したいと思います。,2019-10-06,度目 宿泊 悠々自適 カップル 家族 連れ 向け 宿 モダン 和室 リューアル オシャレ 清潔 自体 木 香り 扉 透明 ろ 泉 質 肌 浴場 男女 入れ替え 夜 朝 景色 お湯 夕飯 目 前 土鍋 ごはん 印象 他 印象 全品 一品 インパクト 酒 地酒 セット 手頃 値段 種 薔薇 梅酒 普段 人 朝食 バイキング 青豆 豆腐 あと 場 調理 オムレツ 外 見事 職人 技 サラダ 洋食 和食 フルーツ シリアル デザート 通り 必要 十 分 印象 あと フロント まわり ラウンジ ソファ 椅子 適度 ゆとり 配置 雑誌 本 コーヒー サーバー 空間 売店 前 宿泊 買い物 私 たち 土産 用 お菓子 箸 小物 適度 使い勝手 適度 サービス 感じ 老舗 旅館 細やか 接客 私 たち 宿 値段 内風呂 木製 最高 機会
　初めての箱根でしたので、バスで名所を巡った後ホテルに入りました。静かな落ち着いたホテルで大変好感が持てました。清掃が行き届いており清潔感にあふれておりました。食事にも心配りがみられ美味しく楽しいひと時を過ごせました。　喫煙室の近くだったので臭いが入口付近まで漂いちょっと。,2019-10-05,箱根 バス 名所 後 ホテル 静か ホテル 大変 好感 清掃 清潔 感 食事 心配り ひと時 喫煙 室 近く 臭い 入口 付近
半露天風呂付きの和室に宿泊しました。部屋に入ると何か臭う…昔喫煙できる部屋だったのか、エアコンのせいなのか、禁煙部屋なのに残念な感じでした。半露天風呂は見た目は小さく思ったけど、入るとヒノキの香りで意外と子供とも入れる大きさで、朝は鳥の鳴き声が聞こえて良かったです。ドアが昔のアルミフレーム&すりガラスで雰囲気がなかったので、木の扉とかだったら素敵だなと思います。食事は美味しかったです。子供の遊ぶ部屋もあったので夕食に飽きた子供たちが遊んでいる間にゆっくり食べられました。朝食バイキングも◎。店員さんも親切でした。大浴場は普通です。,2019-10-04,付き 和室 宿泊 昔 喫煙 エアコン せい 禁煙 残念 感じ 見た目 ヒノキ 香り 子供 朝 鳥 鳴き声 ドア 昔 アルミ フレーム & すりガラス 雰囲気 木 扉 素敵 食事 子供 夕食 子供 たち 間 朝食 バイキング 店員 親切 浴場 普通
土日で沢山の方が泊まっていらっしゃったと思うのですがお風呂がほとんど貸切状態でとても贅沢なひとときでした。朝ごはんもバイキングでお腹いっぱいでとても満足です。,2019-10-01,土日 沢山 貸切 状態 贅沢 ひととき 朝 ごはん バイキング お腹 いっぱい 満足
今回初めて利用しました。洋室タイプでとても清潔感のあるお部屋でした！温泉もちょうど良い温度で最高でした。朝食、夕食付きでこのお値段は本当にお得だと思います！また利用したいです！,2019-09-30,洋室 タイプ 清潔 感 温度 最高 朝食 夕食 付き 値段 得
母とゆっくりと温泉を楽しみたい。できればお部屋に露天風呂を...。と思いお値段も考慮して色々と検索した結果、箱根パークス吉野さんにして正解でした。お部屋も清潔感があり、ベッドも私にはピッタリの寝心地でした。夕食担当の若いスタッフのぎこちない感じはあったものの　笑顔での対応が良かったです。全体的に若いスタッフは元気があり、ベテランスタッフは落ち着いた対応が良かったです。近いうちにまた、伺いたいです。,2019-09-30,母 ...。 値段 考慮 検索 結果 箱根 パークス 吉野 正解 清潔 感 ベッド 私 寝心地 夕食 担当 ぎこち 感じ 笑顔 全体 的 元気 ベテラン うち
朝食のバイキングも種類が豊富でおいしくよかったです。部屋も広くよかったです。露天風呂も気持ちがよく何回も入りました。受付も対応が良かったです。,2019-09-29,朝食 バイキング 種類 豊富 気持ち 回 受付
久しぶりの再利用、急遽温泉に入りたいと思い探したところ、以前利用したときの同じ部屋があいていたので、予約しました。また利用したいと思います。,2019-09-28,久しぶり 以前 予約
この度彼女と初めての旅行で利用させていただきました。最初はついでに半露天風呂が付いてるだけオシャレだから入らなくてもいいかな？ぐらいの気持ちで予約しましたが、逆に部屋にある半露天風呂しか入りませんでした！(いいのかわるいのか…笑)夕食も会席膳で大変満足できるお食事でした。また利用したいと思います！,2019-09-27,度 彼女 最初 ついで オシャレ ? 気持ち 予約 逆 !( 笑 ) 夕食 会席 膳 大変 満足 食事
三連休で一泊二日の旅行に利用させていただきました。値段の都合上喫煙部屋を選択させていただきました。消臭対応していただいており、匂いは全く気になりませんでした。部屋も清潔感のある部屋で良かったです。ご飯も美味しくて、また伺いたいなと思いました。,2019-09-23,三 連休 泊 日 値段 都合 上 喫煙 選択 臭 匂い 気 清潔 感 ご飯
3連休の初日に1泊で宿泊をいたしました。数年前にリニューアルしただけあって、内装は非常に綺麗でした。まず、最初にフロントで受付をしましたが、対応が非常に丁寧でした。19:30までフロント近くのロビーにて、コーヒー無料といったサービスがあります。部屋は、和室ローベットシャワー付きにて宿泊しました。元々の部屋の構造の影響なのか、トイレが入口近くで、外履きに履き替える必要がありましたが、部屋も綺麗で、シャワーも温泉が出るなどとても良かったです。夕食は、和食会席膳でした。表題にもある通り、お食事処のスタッフも対応が丁寧で、とにかくおもてなしの精神が行き届いているな、と感じました。料理も多彩かつボリュームがあり、味も大変美味しかったです。温泉は、最上階にあり室内と露天風呂があります。2種類の浴場があり、男女入れ替え制になっています。温度は40度ほどで、少し温めですが、更衣室には無料水、マッサージ器やその他アメニティも完備されています。全体を通し、スタッフの対応が行き届いていると感じました。コストパフォーマンス的にも妥当であると思います。非常に素晴らしい時間を過ごすことができました。,2019-09-22,連休 初日 泊 宿泊 数 年 前 リニューアル 内装 非常 綺麗 最初 フロント 受付 非常 丁寧 : フロント 近く ロビー コーヒー 無料 サービス 和室 ローベットシャワー 付き 宿泊 構造 影響 トイレ 入口 近く 外 必要 綺麗 シャワー 夕食 和食 会席 膳 表題 通り 食事 処 丁寧 おもてなし 精神 多彩 ボリューム 味 大変 最上階 室内 種類 浴場 男女 入れ替え 制 温度 度 更衣 室 無料 水 マッサージ 器 その他 アメニティ 完備 全体 コストパフォーマンス 的 妥当 非常 時間
平日宿泊でしたので、静かで良かったです。朝食はバイキングで悪くはないです。お風呂は40℃で、ゆったりする方には丁度良いが、露天風呂はあと二℃高くても良いかと思います。,2019-09-21,平日 宿泊 静か 朝食 バイキング ℃ あと ℃
中国人？の方がフロントで対応してくくださったのですが、とても丁寧な日本語を話していて◎でした！また、やっぱりお料理が、とても美味しく、味だけでなく目でも楽しむことが出来て、大変満足でした！また行きたいなと思います！,2019-09-18,中国人 ? フロント 丁寧 日本語 味 目 大変 満足
お部屋は、露天風呂付き客室で広々したお部屋でした。とても清潔でキレイなお部屋でよかったですが、露天風呂付きですが狭く2人一緒は厳しかったです。部屋のテラス側のスペースをお風呂のスペースにもっと活用してほしかったと思いました。大浴場のほうがよかったです。ですが、夕食は懐石料理でとても満足しています。配膳の方も優しく、次の日の事で相談に乗って頂き色んな提案を出してくださってよかったです。朝食は、バイキングで色々なお料理がありこちらも満足しています。全体的にとてもよかったです。また、伺いたいと思います。,2019-09-16,付き 客室 清潔 キレイ 付き 人 一緒 テラス 側 スペース スペース 活用 浴場 ほう 夕食 懐石 満足 配膳 次 日 事 相談 提案 朝食 バイキング 色々 満足 全体 的
初めて利用しました。お値段が安いのに、朝食もついていて美味しかったです。お風呂も時間によって男女入れ替えするので、彼氏とお泊りしてお互いに共通の話もできて、楽しかったです。,2019-09-12,値段 朝食 時間 男女 入れ替え 彼氏 泊り お互い 共通 話
今回は初めて利用しました。チェックインするとフロントの方の対応が凄く良かったです。ウエルカムドリンクもありロビーも綺麗だし素晴らしかった！夕食は付いて無かったので外で食べました。部屋は広く部屋のシャワーが温泉と言うのも凄いですね！利用したかったけど大浴場ので満足しました。ベットも広く２つくっ付いているので３人ぐらいで寝れそうです。温泉は脱衣所も広く良かったです。湯船も広いしノンビリ入れました。朝食はスグに案内され料理も品揃え良く満足です。ただ最後に館内の場所に寄っては廊下がカビ臭い場所がありました。私達の部屋の前は消臭スプレーが定期的に出て良い匂いでした。ここは駅まで近いし立地条件は良いですね！また泊まりたいです。,2019-08-26,チェックイン フロント ウエルカム ドリンク ロビー 綺麗 夕食 外 シャワー 浴場 満足 ベット 人 脱衣 所 湯船 ビリ 朝食 案内 品 満足 最後 館内 場所 廊下 カビ 場所 私 達 前 臭 スプレー 定期 的 匂い 駅 立地 条件
何度かご利用させていただいていますが、いつも　満足しています。ただ　今回残念だったのは　三つあります。一つはトイレが綺麗に掃除されておらず　到着早々　自分でトイレ掃除をしたことです。二つ目は床の間横の台にホコリが溜まっておりやはり自分のウェットティッシュで掃除をしました。妻の術後のリハビリと温泉の楽しみを台無しにしたくなかったので自分で妻に知られないように始末したものです。三つ目は床の間の蛍光灯が切れる寸前でチカチカとしていました。敢て付け加えると洗面に置いてあるティッシュが残り少なくこれじゃ足りないなと感じられたことでした。フロントに電話をしティッシュと蛍光灯は取り換えていただきました。対応してくれたスタッフの方達はとても丁寧で感じがよく嫌な思いも無くなりました。夕食のコースはとても凝った御造りで大満足でした。温泉も相変わらずのんびりと大浴場、露天風呂と楽しむことが出来ました。今回の落ち度はたまたまだったと思います。スタッフの方たちのおもてなしは満足できますし今後も利用したいと思っています。,2019-08-03,度 満足 残念 三つ トイレ 綺麗 掃除 到着 自分 トイレ 掃除 二つ 目 床の間 横 台 ホコリ 自分 ウェット ティッシュ 掃除 妻 術後 リハビリ 楽しみ 台無し 自分 妻 始末 三つ 目 床の間 蛍光 灯 寸前 敢 洗面 ティッシュ フロント 電話 ティッシュ 蛍光 灯 達 丁寧 感じ 嫌 思い 夕食 コース 造り 満足 浴場 落ち度 たち おもてなし 満足 今後
部屋付温泉風呂は良かったですが、部屋の内装等は古めで、眺望が得られないこと等事前にアナウンスしたプランであってほしかったです。全体的に高めだった印象です。,2019-07-16,付 内装 等 古 め 眺望 事前 アナウンス プラン 全体 的 高め 印象
部屋に半露天風呂がついているプランを選んだのだが、お風呂場はちょっと狭いがきれいで川の音を聞きながらゆっくりつかることができて良かった。夕食は個室でも非常に美味しくいただけた。ただ隣の個室の声が丸聞こえだったのは気になったが仕方ない。朝食もブッフェタイプで食堂でいただくスタイルだったが、種類も量も充分だった。部屋は非常に広く、畳で12畳あり、何もないので二人で泊まるには広すぎた。布団が煎餅布団みたいで、これは非常に残念だったが、値段的には仕方がないのかもしれない,2019-07-11,プラン 場 きれい 川 音 夕食 個室 非常 隣 個室 声 丸 気 仕方 朝食 ブッフェタイプ 食堂 スタイル 種類 量 充分 非常 畳 畳 人 布団 煎餅布団 非常 残念 値段 的 仕方
今年も三姉妹で旅行しました。まだ行った事のない箱根へ計画をたてました。どこから攻めて行けば良いか分からず、観光バスでぐるっと回り、箱根湯本駅に近いのでこちらの旅館にきめました。部屋に檜のお風呂があり、感動しました。夕食、朝食ともに大満足です。大変お世話になりました。,2019-05-29,今年 三 姉妹 事 箱根 計画 どこ 観光 バス 箱根湯本 駅 旅館 檜 感動 夕食 朝食 とも 満足 大変
2歳の子供を連れて西館のハリウッドツインの部屋に宿泊しました。畳の上に大きなベットが2台あるので添い寝でも安全でゆったりと寝られたのでよかったです。お子様ランチの事前予約時にケチャップライスが苦手な子供なので白いご飯に変更を申し出たところ対応不可とのことでしたが、当日フロントで対応できたことを告げられ、とてもありがたかったです。大人の料理を取り分けていたら食べられる物もなかったのでお子様ランチ予約していてよかったです。食事場所にあるキッズルームは子供を遊ばせながら主人と私と交代で食事できたので助かりました。大浴場近くのキッズルームも利用しましたがどちらとも遊具がもっとあればなぁというのが正直な感想です。子供も大画面テレビを見ていて大人しくしていた感じでした。ゲームセンターはなく、売店も小さめでしたが子供連れてゆったり過ごすにはいいと思います。しいて言えば、車で行ったのですが宿の隣にある駐車場に勝手にとめていいのかわからず、ホテルの人も外で案内してくれるわけでもなく、とりあえず駐車場とめて重い荷物もってフロントまで行きました。たまたまなのかもしれませんが幼児連れにはこたえました。部屋までも自分達で荷物運ぶしカートの案内とかもなかったのでそういうのがあれば満点でした。,2019-05-28,歳 子供 西 館 ハリウッド ツイン 宿泊 畳 上 ベット 台 添い寝 安全 お子様 ランチ 事前 予約 ケチャップ ライス 苦手 子供 ご飯 変更 不可 当日 フロント 大人 物 お子様 ランチ 予約 食事 場所 キッズルーム 子供 主人 私 交代 食事 浴場 近く キッズルーム どちら 遊具 正直 感想 子供 画面 テレビ 感じ ゲームセンター 売店 小さめ 子供 車 宿 隣 駐車 場 勝手 ホテル 人 外 案内 駐車 場 荷物 フロント 幼児 連れ 自分 達 荷物 カート 案内 満点
部屋に露天風呂がついてるプランを予約しました。部屋は清潔感があり綺麗でしたが、ベランダは蜘蛛の巣などで汚れており、全く掃除していない様子でした。また部屋のお風呂も思っていたより狭く、塩素の匂いが強く感じとても残念でした。フロントに内線でレンタル品をお願いしたら、結局フロントまで取りに来て下さいと言われたのも残念に感じました。。ただ夕飯は美味しかったです！リピートはないです。,2019-05-21,プラン 予約 清潔 感 綺麗 ベランダ 蜘蛛 巣 掃除 様子 塩素 匂い 残念 フロント 内線 レンタル 品 お願い 結局 フロント 残念 夕飯 リピート
全体的に良いホテルだと思いました。車椅子可能な貸切風呂を探し、箱根パークス吉野での宿泊を決めました。結果、今まで利用したホテルの中で最高で両親も大変喜んでいました。ただ、貸切風呂無料のプランで申し込んだのですが（連泊２部屋）、2日の内1回しか利用できないと言われました。1泊のプランで2日連泊すれば2回貸切風呂に入れるが、最初から2連泊で申し込んだため無理だと言われました。2日間同料金を払っているのでこの部分だけはとても不愉快（納得できません）でした。夕食はボリュームが有り、大満足。朝食も美味しかったのですが、２日間とも９０％は同じ料理だったので楽しめませんでした。他のホテルも含め連泊したのは初めてなのでこういうものなのかわかりませんが、メニューを変えていただけると嬉しいですね。チェックアウト時にはフロントに1人しかいなく、待たされた上割り込みの外国人がいてさらに待たされつかれました。外国人の研修中の方の日本語がとても上手でビックリしました。日本人以上に気を使っていたと思います。,2019-05-16,全体 的 ホテル 車椅子 可能 貸切 箱根 パークス 吉野 宿泊 結果 今 ホテル 最高 両親 大変 貸切 無料 プラン ( 連 泊 )、 日 内 回 泊 プラン 日 連 泊 回 貸切 最初 連 泊 無理 日間 料金 部分 不愉快 ( 納得 ) 夕食 ボリューム 満足 朝食 日間 % 他 ホテル 連 泊 メニュー チェック アウト フロント 人 上 割り込み 外国 人 外国 人 研修 日本語 上手 ビックリ 日本人 以上 気
GW初日に行きましたが、対応も良く、また、夕食の料理一品一品が手が込んでいて、とても美味しかったです。お風呂も最高でした！ また行きたいです。,2019-04-30,GW 初日 夕食 品 品 最高
部屋も広く静かでした。半露天風呂はぬるいお湯が好みとしては、温度調節ができて快適でした。ただ虫がすぐ入ってくるので浴槽のスライド板に、高級感をそこなわない程度の網戸があればいいなと思います。部屋の掃除は灰皿に瓶ビールのフタが残っていたり、壁に水分の拭き残しがあったり、畳に長い髪の毛が落ちていたりしたので残念でした。料理は夜食が物足りないので結局外へ食べにいきました。ですので夜食もビュッフェにだったらいいなと思いました。,2019-04-15,静か お湯 好み 温度 調節 快適 虫 浴槽 スライド 板 高級 感 程度 網戸 掃除 灰皿 瓶ビール フタ 壁 水分 畳 髪の毛 残念 夜食 結局 外 夜食
