口コミ,投稿日
今年も三姉妹で旅行しました。まだ行った事のない箱根へ計画をたてました。どこから攻めて行けば良いか分からず、観光バスでぐるっと回り、箱根湯本駅に近いのでこちらの旅館にきめました。部屋に檜のお風呂があり、感動しました。夕食、朝食ともに大満足です。大変お世話になりました。,2019-05-29
2歳の子供を連れて西館のハリウッドツインの部屋に宿泊しました。畳の上に大きなベットが2台あるので添い寝でも安全でゆったりと寝られたのでよかったです。お子様ランチの事前予約時にケチャップライスが苦手な子供なので白いご飯に変更を申し出たところ対応不可とのことでしたが、当日フロントで対応できたことを告げられ、とてもありがたかったです。大人の料理を取り分けていたら食べられる物もなかったのでお子様ランチ予約していてよかったです。食事場所にあるキッズルームは子供を遊ばせながら主人と私と交代で食事できたので助かりました。大浴場近くのキッズルームも利用しましたがどちらとも遊具がもっとあればなぁというのが正直な感想です。子供も大画面テレビを見ていて大人しくしていた感じでした。ゲームセンターはなく、売店も小さめでしたが子供連れてゆったり過ごすにはいいと思います。しいて言えば、車で行ったのですが宿の隣にある駐車場に勝手にとめていいのかわからず、ホテルの人も外で案内してくれるわけでもなく、とりあえず駐車場とめて重い荷物もってフロントまで行きました。たまたまなのかもしれませんが幼児連れにはこたえました。部屋までも自分達で荷物運ぶしカートの案内とかもなかったのでそういうのがあれば満点でした。,2019-05-28
部屋に露天風呂がついてるプランを予約しました。部屋は清潔感があり綺麗でしたが、ベランダは蜘蛛の巣などで汚れており、全く掃除していない様子でした。また部屋のお風呂も思っていたより狭く、塩素の匂いが強く感じとても残念でした。フロントに内線でレンタル品をお願いしたら、結局フロントまで取りに来て下さいと言われたのも残念に感じました。。ただ夕飯は美味しかったです！リピートはないです。,2019-05-21
全体的に良いホテルだと思いました。車椅子可能な貸切風呂を探し、箱根パークス吉野での宿泊を決めました。結果、今まで利用したホテルの中で最高で両親も大変喜んでいました。ただ、貸切風呂無料のプランで申し込んだのですが（連泊２部屋）、2日の内1回しか利用できないと言われました。1泊のプランで2日連泊すれば2回貸切風呂に入れるが、最初から2連泊で申し込んだため無理だと言われました。2日間同料金を払っているのでこの部分だけはとても不愉快（納得できません）でした。夕食はボリュームが有り、大満足。朝食も美味しかったのですが、２日間とも９０％は同じ料理だったので楽しめませんでした。他のホテルも含め連泊したのは初めてなのでこういうものなのかわかりませんが、メニューを変えていただけると嬉しいですね。チェックアウト時にはフロントに1人しかいなく、待たされた上割り込みの外国人がいてさらに待たされつかれました。外国人の研修中の方の日本語がとても上手でビックリしました。日本人以上に気を使っていたと思います。,2019-05-16
GW初日に行きましたが、対応も良く、また、夕食の料理一品一品が手が込んでいて、とても美味しかったです。お風呂も最高でした！ また行きたいです。,2019-04-30
部屋も広く静かでした。半露天風呂はぬるいお湯が好みとしては、温度調節ができて快適でした。ただ虫がすぐ入ってくるので浴槽のスライド板に、高級感をそこなわない程度の網戸があればいいなと思います。部屋の掃除は灰皿に瓶ビールのフタが残っていたり、壁に水分の拭き残しがあったり、畳に長い髪の毛が落ちていたりしたので残念でした。料理は夜食が物足りないので結局外へ食べにいきました。ですので夜食もビュッフェにだったらいいなと思いました。,2019-04-15
ホテルに着いてから受付ではとてと優しく丁寧に説明などをしてくれてよかったです！夕食はとてもボリュームがあって美味しくて満足でした！一緒に行った相手の誕生日ということを事前に伝えたら、食後にアイスを出していただくことになって、とてもいいサービスだと感じた！だが、出してもらうとき隣の席の人に間違えて出してしまっていて残念でした。,2019-03-31
事前に荷物を預けるタイミングでチェックインも柔軟に対応して頂けたので箱根の町をゆっくり散策する事が出来ました。半露天風呂も小さめと書いていたのである程度覚悟して行ったのですが、とってもゆったりして熱めのお湯も出て外の景色を見ながら、そして川の音を聞きながらリラックスする事が出来ました。また行きたいと思える素敵な宿でした！,2019-03-27
　高齢の母親が箱根湯元温泉に泊まりたいと願っていたので急な予約でしたが対応していただきました。車椅子を利用での対応に気を使っていただき大変有難うございました。初めての箱根湯元温泉を満喫でき、初めての露天風呂付の部屋で記念になりました。部屋での入浴はとてもいいですね！大浴場も良かったし、料理もとても美味しくとても満足感が満たされました。スタッフの方々もとても親切にしていただき有り難うございました。,2019-03-21
リピーターです。箱根湯本の温泉に入りたいと思い、お手頃な一人宿泊のプランを探していたところ、運良く予約できました。これまで家族との宿泊でしたので、はじめて一人でお世話になりました。部屋は川沿いではありませんでしたが、リニューアルされており、静かで、ゆったり過ごせました。なめらかな美肌の湯に大満足。特に露天風呂は、私の中でお気に入りです。朝のバイキングも美味しくいただきました。,2019-03-16
旅館の雰囲気も良く、スタッフさんたちの対応も丁寧でとてもいいお宿でした。一つだけ残念な点が内風呂付きのお部屋の内風呂が写真と違い狭かったことです。,2019-03-07
疲れがたまって、癒しを求めて、2、3日前にどこか良い温泉はないかと探したところ、偶然、空いており、直ぐに予約しました。そばを通った事はありましたが、宿泊は初めてでした。食事も温泉、満足しました。特に夕食のご飯は目の前の鍋で炊くようになっており、炊きたては、非常に良かったです。また、貸し切り風呂もスペースが大きくとられて、ゆっくり入る事ができました。チェックアウト後も車も預かってもらい、買い物もゆっくり出来ました。ありがとうございました。またお世話になります。,2019-03-05
週末（土・日）で泊まらせていただきました。子供（2歳）連れ、自分、母親との３世代旅行です。立地ですが、湯本から歩いてすぐです。（大人の足なら１０分程度）。ゆっくり川を見ながら来ることもでき、子供の足でもがんばれました。リニューアルしたとあって、フロント、ラウンジはとても綺麗です。混雑もしていなく、ラウンジには子供が読める絵本もあってゆっくりできました。子供が水をこぼしてしまいましたが、快く対応してくださり、大変感謝です。お風呂は大浴場はとても気持ちよかったです。キッズスペースがあって子供を遊ばせながら待たせることもできました。入れ替えで入った男性側の露天風呂が塩素の匂いがして残念でした。女湯、内湯も温泉ということでしたが、そんなことはまったくありませんでした。子供には、内湯を使わせていただきましたが、ヒノキぶろで、子供もとても気持ちいい、と喜んでました。お部屋は西館のリニューアルしたお部屋をとらせていただきました。最近の旅館で流行りのタイプですね。（リニューアルタイプでよく見る感じです。）ただ、細かいところに既に内装のほつれが見えておりまして、そこはよくチェックしていただけるといいかな、と思います。私は気にならない程度ですが、人によっては気になるかもしれませんね。内湯の扉は古いままあだったので、ぜひ改築をお願いしたいです。加湿器と空気清浄機も用意していただくことができ、うれしかったです。ご飯は、夕飯は個室でした。女性には十分な量で大変美味しかったです。このお値段で夜個室で食べれるのは嬉しいですね。子供用の椅子なども用意いただき、ゆっくり楽しめました。朝食も種類も多く美味しかったです。時間を見計らっていったのでゆっくり食べれましたが、８時からの混雑ぶりがすごかったので、もう３０分前後に＋で時間があると嬉しいかなと思いました。もしくは時間差を設けてもらえるといいかと思いました。館内・室内とも清掃は行き届いていてよかったです。また機会があればリピートしたいなと思っております。キッズルームにおもちゃが少なすぎるので、もう少し増やしていただけると嬉しいところでした。それ以外は概ね満足です、ありがとうございました。,2019-02-12
お部屋は直前割を使ったので、仕方ないと思います。値段の割にはと満足してます。お風呂も夜遅くまで入れて良かったです。ですが、外国人の方がシャワーを下に置きっ放しにしたり、お風呂にスマホを持って入っているのは、とても不愉快でした。,2019-02-09
泉質・部屋の広さ・料理・コスパ全てにおいて良いホテルです。一点お願いしたいのが、他のグリーンプラザホテルにはキッズスペースがあるのに箱根だけないのが2歳児連れの私達には残念でした。,2019-12-26
今回2回目の利用となりましたがまず1点目に部屋のユニットバスの排水の匂いなのかカビの匂いなのか分かりませんが非常に気になりトイレに行くのもこばんでしまうぐらいでした。2点目に男子浴場で外国人の方が三人露天風呂で缶ビールを箱ごと持ち込んでおり大人しく飲んではいましたがこれまた文化の違いである程度仕方ない部分はあるとは思いますが入り口にでも注意書きをされた方が良いのかと思いました。その他、食事にしても温泉にしてもスタッフの対応にしても素晴らしいと感じました。また伺います！,2019-12-24
富士山を見ながら、ゆっくりとお湯に入って気持ちよかったです。食事もとても美味しく良かったです。また、利用したいと思いました。,2019-12-23
富士山が見える露天風呂は最高でした！1日目の夜中でもうっすら雪の積もった富士山が見えたし、翌日は朝日は見ることができませんでしたが、朝食後にはとても綺麗な富士山が見えました！夕食のバイキングもとても種類豊富で美味しくいただきました！またいつか来たいです！,2019-12-19
思ったよりキレイではなかったです 値段がやすいのでなんとも言えませんが写真とは少し違う気がしました,2019-12-16
男湯からは富士山が見えませんでした。それ以外は施設サービス共に満足できたので基本的には満足です。特に夕飯は予約していなかったのですが急遽ご用意していただいて助かりました。,2019-12-15
朝露天風呂は富士山がとてもキレイに見えて感動しました。夕食は品数が多く色々選ぶ事ができ、楽しかったです。味はまぁ悪くなかったと思います。可もなく不可もなくと言った所です。,2019-12-14
数年前にこちらのホテルで結婚式と食事会を行った際にとても良くして頂いたので、思いで巡りで利用しました。お料理は種類も沢山ありますし、味付けもとても良く、会場も綺麗で解放感があり、とても美味しく頂けました。お風呂も富士山がくっきりと見えて、ホームページの写真を裏切らない景色を堪能できました。お部屋も新しくはないですが、清掃が行き届いており快適に過ごせました。スタッフの方も、常に挨拶をしてくださりとても気持ち良かったです。ただ、滞在中に私の不手際で大浴場でルームキーを紛失してしまい、その旨をフロントに伝えたところ『こちらでも探してみます。見つかりましたらご連絡しますが、もし見つからない場合は鍵交換が必要なので規定の料金をお支払頂くことになりますが…』と言われ、それは勿論払うつもりでいました。結局見つかった連絡は来なかったため、チェックアウトの際にスタッフの方に伝えたところ『…？ちょっと届いてるか確認します…』と言い、裏に入って数分後に戻ってきて『届いていないみたいですが…もう一度大浴場探されますか？』と言われ、失くしてから何度か見に行っていたので『いえ、料金をお支払いさせて頂きますので…』と伝えると、ちょっと手間取ったみたいで、先輩らしき女性スタッフが概要を聞き、元々ルームキーをしまうボックスを確認してくださったところ、『キーはあるじゃない！』と…どうやら他の宿泊客が間違えて持っていってしまったのに気が付き、フロントに届けてくれていたみたいで…見つかった連絡はないし、キーが本当に届いていないかのチェックは甘いし、危うく不要なお金を支払うところでした。勿論、きっかけは私の不手際なのでそれは申し訳ないのですが、連絡の怠りやチェックの甘さに不安が残りました。たまたまチェックアウトを担当された方が…ということだったと思いますし、全体的には良かったので、今度は鍵の紛失に気を付けて利用したいと思います。,2019-12-08
部屋が階段でしか行けない二階でしたが荷物を運んでくれるサービスが無かったので苦労しました。ユニットバスが少し残念でしたがバイキングはどれも美味しく頂きました。外国人の方がとても多く、マナーがなっていない方が目立ちますが目を瞑るしかないですね。,2019-12-08
３年前に一人旅で利用した時には、全体的に暗い雰囲気で、施設設備も古さが否めない状態でした。今回、夫婦旅行で再度利用させてもらいましたが、玄関ホール、フロント、大浴場、バイキングレストランまでかなり改善され、快適に過ごすことが出来ました。せっかくの冨士見プレミアムルームに宿泊しましたが、チェックインが諸事情で遅れて、部屋や露天風呂から富士山がよく見えなかったのが唯一の心残りです。箱根エリアの立地条件として、夫婦共に最高の場所だねって一致し、芦ノ湖から大涌谷、富士山眺望の観光拠点としては申し分なく、宿泊代金から考えるとコストパフォーマンスは非常に高いと思います。またいつか箱根旅行に行く機会があれば、是非とも泊まりたいと思います。,2019-11-25
初めての家族旅行で箱根に行った際、利用させて頂きました。夜、朝共にビュッフェが最高でした！種類も多く、味も美味しかったです。子連れで行ったので子供が食べられるか心配もあったのですが、全然問題なかったです。子供も楽しそうに選んで沢山食べていました。ただ、子供用の食器が無かったのでそこだけは難点かな…。もしかしたらあったかもですが、見つけられませんでした。温泉も気持ち良くて、子供も喜んでました。また箱根に行った際は利用したいです。,2019-11-25
フロントスタッフ外国人多いですけど、綺麗な日本語としっかりの対応良かった。売店のスタッフも面白かった。食事も美味しかった。また行きたいです。,2019-11-24
5歳、2歳の子供と80手前の祖父母と5人でこちらに一泊しました。朝夕バイキングの露天風呂付き和室を選びました。ホテル付近のバス停に着いて2歳の子供が寝起きで歩きたがらず祖父も足が悪い為ホテルに電話し送迎をお願いすると、すぐに迎えに来て頂けましたがバス停からホテルまではかなりの近距離だったので送迎依頼をしてしまって申し訳ないなと思うくらいでした。到着して出迎えてくれたスタッフ、フロント、売店のスタッフ様方全てが笑顔で応対してくださり、それまで移動中の子供達の行動で神経過敏になっていたのでホッとすることが出来ました。特に売店の男性スタッフの方、私が買い物中に子供達の相手をして頂き、子供達が喧嘩を始めた時フォローをしてくれて本当にありがたかったです。お部屋はとても広く一階の角部屋だった為子供達の出す音にそこまで神経を尖らすこともなかったです。今回大浴場にかなり近い部屋だった為、部屋の露天風呂は利用しませんでしたが部屋の露天風呂は清潔にしてあったので利用すれば良かったなと思いました。食事会場では、料理デザート共に大変美味しかったですがここでも小さい子供を連れていることに対してのスタッフの方々の心配りがとてもありがたかったです。１つだけ、子供用の食器でプラスチックのスプーンとフォークが一緒になっているものを付けていただいたのですが5歳と2歳の子供には使いにくく、事前に情報も仕入れていた為自前のスプーンとフォークと箸を持参しました。スプーンとフォークは別々のものでプラスチックでないものの方が使いやすいなと思いましたので是非ご検討頂けたらと思っています。年々老いていく祖父にとってこれが最後の旅行になるかな〜と言っていた旅行でしたので、スタッフの皆々様のお陰で楽しい旅行になりましたこと、大変感謝致しております。,2019-11-15
ウエルカムドリンクがありロビーでゆっくり飲みながら混雑していないタイミングでチェックインを行えた。スタッフは皆感じ良く、挨拶をしっかりしてくれた。露天風呂から見える富士山がとても綺麗でした。温泉も肌がすべすべになり脱衣所も清潔感がありました。大浴場の脱衣場にも出入り口のところにも、冷水や冷たいお茶の無料のサービスがあり良かった。食事のクオリティーが高く、何を食べようか？悩むほど品数が多く全てが美味しかった。お寿司は好きなネタを好きなだけ握って貰えます！部屋も写真の通りで、庭に出ると富士山とホテルをバックに良い写真が撮れます！ロープウェイ乗り場もホテルから歩いてすぐにあります。車も無料で置けます。良い思い出ができました。また泊まりたいです。,2019-11-14
露天風呂は縦長で富士山が見えるのは、前方の一部でもう少し大きさが有れば、良かった・・・男女の入れ替えが無いのも残念,2019-11-13
リピートで使わせて頂きました。夕食のクオリティが高くすぐに補充もされていて言うことなしでした。接客態度もみなさんとても良く気持ちよく過ごせました。客室露天風呂は和室洋室ともに使用させて頂きましたがどちらも綺麗でまた行きたいと思います。ありがとうございました。,2019-11-12
富士山が見えるホテルとして、また湯涌谷の近くと言うことで宿泊したが、生憎の天気で富士山は見れず、噴火のレベルは1であるが検査中で湯涌谷にも行くことが出来なかった。だが、食事も美味しくロビーが綺麗で、ピアノの生演奏もあり、ゆっくり過ごせた。山の上の方にあり運転が大変だった。,2019-11-10
家族旅行で利用しました。とてもよいホテルです。最近の旅行で、一番良いホテルでした。食事もおいしくとても満足。また、機会があれば行きます。ただ、設備は老朽化がみられます。,2019-11-09
家族で露天風呂付き個室を借りて泊まりました。台風一過に宿泊したもので温泉不足で個室露天風呂は使用できませんでした。連泊しましたが料理の種類が豊富で飽きることなく美味しくいただきました,2019-11-04
露天風呂からの富士山を見たくて、こちらを選びました。天気予報が曇りで諦めていましたが、運が良く富士山を見ながらの露天風呂に入ることができました。夕食朝食のビュッフェも種類が多く、迷うほど。ローストビーフは柔らかくて美味でした。ただ、取りわける時に使用する、トング等にソースや食材が付いてるのが多かったのが気になりました。和洋室で、布団を２組敷くと、かなり狭くなりました。リフォームしてから月日が経っていないのか綺麗でした。カーテンの上飾りの両面テープが剥がれていたのが残念でした。チェックアウト前にテラスから写真を撮ろうとした際、スタッフの方がSNS用の撮影をしていました。撮影を依頼したら上手に撮っていただけました。ありがとうございました。,2019-11-04
70代半ばの母と一緒に宿泊しました。私も母も富士山をゆっくり観たことがなかったのですが、今年始めにテレビでこちらのホテルが紹介され、魅力にひかれて予約しました（富士見和室）。台風の影響で初日に宿泊予定だったホテルから断りの電話が入ったので、急遽こちらで２泊することにしました。ホテルに到着するまでに、路線バスで他のお客さんと荷物が絡み合い、キャリーバッグの取っ手の１か所が破損するというトラブルが起きました。出迎えてくださったボーイさんに事情を説明し、ガムテープで応急処置をしていただきました。大変助かりました。ありがとうございました。到着した日の夕方は富士山に雲がかかり、ぼんやりとしか見れませんでした。しかし、翌朝、小鳥のさえずりで起きてみると綺麗な富士山が見えました。母を起し、布団の中から二人で富士山をゆっくり観ました。夕日に照らされる、富士山。朝日を浴びる富士山…露天風呂からもはっきりと観えました。２連泊のサービスとして、夕食にアルコールもしくはソフトドリンクのサービスがあります。ビールをいただきましたが、ジョッキでビールが出ると思いきや、瓶ビール２本でたので、飲み切ることができず、申し訳なかったです。様々な国籍のスタッフの方がおられますが、対応がよく気持ちよく過ごすことができました。しいて言えば…お刺身や握りが好きな母より、魚の鮮度が若干落ちていると言っていました。刺身に詳しくはない私は分かりませんでしたが、大好きな人から言えばそのように感じるのかもしれません。掃除はパッと見た感じは行き届いていると思いましたが…布団から全体を見渡すと、カーテンのヒダにホコリがたまっていました。しかしながら、このように贅沢な時間を過ごすことができ、最高にいい母娘旅となりました。本当にお世話になりました。また、ゆっくりと富士山を観たくなったら、宿泊したいと思います。,2019-11-03
初めて恋人と箱根旅行に行くことになり、前日に予約しました。台風の影響で箱根登山鉄道が一部運休していたのでフリーパスの使える地域から宿を選ぶしかなく少し不安でしたが、他の方の口コミ通り姥子のロープウェイからも本当にすぐ到着する事が出来ました♪(日没してしまうと真っ暗なのでチェックインが遅い方は注意！)玄関の方へ行くと、女性スタッフがわざわざ走って私達の方まで来てくれて『お荷物お持ちしましょうか？』と笑顔で迎え入れて頂き嬉しかったです♪お部屋から富士山が見える部屋ではなかったですが、部屋の中の畳や机も新しく綺麗で宿泊中は快適に過ごすことが出来ました♪お料理はビュッフェスタイルということでそこまで期待はしていなかったのですが、どれも本当に美味しかったので満足でした☆ローストビーフがビュッフェとは思えない位柔らかく何度もお代わりしてしまいました(^^)お風呂は露天風呂から見える富士山が贅沢な気分にさせてくれます☆何度見ても綺麗でした☆ここのホテルはお庭もあり、そこから見える富士山はとても綺麗ですし、夜は標高が高い為星空もとても綺麗で流れ星も沢山見る事が出来、恋人との箱根旅行を最高の思い出にする事が出来ました♪普段口コミはしない私ですが、本当に良かったので口コミさせて頂きました(^^)恋人とまた箱根旅行するならここに泊まろうねと言うくらい良かったので、機会があればまた利用させて下さい☆ありがとこざいました☆☆☆,2019-11-03
露天風呂がとても良かったです。食事もブッフェスタイルで色々な種類があってどれも美味しかったです！接客対応も親切でした^ - ^ありがとうございました(^ ^),2019-10-22
子供が小さく料理はブュッフェが基本の我が家、こちらはリーズナブルなので少し不安でしたが、お料理は種類も多くとても美味しく子供も楽しめました。お風呂も綺麗で露天も最高でした。ぜひまた宿泊したいです。,2019-10-14
箱根はマイカーで何度も行っていますが、ロマンスカー、箱根登山鉄道経由で姥子下車のホテルは初めてで、ホテルの写真だけではとても不安でした。しかし、姥子駅でホテルに電話すると車がすぐ迎えに来てくださり、とても安心しました。また到着時はガスで見晴らしは悪く不安でしたが、一晩明けると快晴。富士山がとても綺麗でした。確かに素晴らしい！！料理はバイキングで大満足でした。箱根でイカ、エビの天ぷらが美味しかったのは忘れられません。また風呂付の室を予約したので、これまた最高でした。接客、サービスは、外国人の研修生が多く、フロントで戸惑いました。確かに外国人観光客が多かったですが、日本人へのサービスも宜しくお願いいたします。何はともあれ、富士山を一望できる宿は、確かに素晴らしいホテルでした。また、伺いたいです。,2019-10-13
結婚記念日で宿泊しましたが、部屋のお風呂と食事は、大変満足しましたが…部屋で、横になってくつろいで居たとき、襖の下の隙間？がホコリが凄くてビックリ！！後、湯呑み茶碗を２つ使ったが、残りは茶渋が凄くて使う気にならなかった…口を付けるものなので…せっかく、差額出して、良い部屋にしたのに、それだけが残念でした。,2019-10-06
少しお部屋のにおいが、気になりました。タブレットで富士山の様子が見えたので、お風呂に行くときに参考になりよかったです。,2019-10-01
長男の誕生祝いに長男家族と利用しました。一才８ヶ月の孫も一緒でしたので、富士山を見える和室で利用しましたが、綺麗に見えて嬉しかったです。食事は朝夕共にバイキングですが、目の前でお寿司を握ってもらったり、焼きたてピザが出てきたりと、美味しい物を好きなものだけ食べれて満足です！部屋のトイレがユニットバスなのは少し残念でした。,2019-09-28
食事の種類、味、雰囲気、サービスもとても満足で、小さな子ども連れでも楽しめました。和室から見えるキレイな庭園もステキでした。,2019-09-27
両親と子供と三世代で利用させていただきました。何より満足度が高かったのは、夕食のブッフェです！わりとお安いお値段だったので、特に期待していなかったせいもあるかもしれませんが、どれを食べてもとてもおいしくて！特にライブキッチンのお寿司と、ローストビーフ、ラクレットチーズをつかったパスタが美味しかったです！家族みんな、またこちらに泊まりたいと言っていました！ただ、子供用のスプーンやフォークの用意がなく、プラスティックの先割れスプーンしかなかったのが残念ポイント。あれは大人でも使いにくいです。。ドリンクコーナーにティースプーンならあるかもと見に行きましたが、マドラーしかなく。。デザートコーナーにはこれまた使いにくい木のスプーン。。そこだけ改善されたら子連れにもっと嬉しいです！,2019-09-27
富士山の見える部屋に泊まりました。足の悪い80歳の母も、流れる雲で段々と表情が変わっていく富士山を部屋にいながらにして楽しむことができ、大喜び。　窓際でずっと写真をとっていました。部屋数の多い大きな宿でしたが、夕食のビュッフェはチェックインの時に希望の時間を聞かれ、席が空き次第部屋に電話を入れてくれたので、会場の前で長時間待つというストレスはありませんでした。お料理は種類も多く、どれもおいしかったです。ロビーで周辺の見どころを尋ねましたが、丁寧に説明いただきました。箱根ロープウェイは運休で乗ることができないので、（実際には利用しませんでしたが）ホテルから桃源台まで送迎バスを出してくださると聞きました。親切だな、と思いました。,2019-09-26
家族旅行で利用させて頂きました。料理は種類が豊富でとても美味しかったです。スタッフの対応も良く、気持ち良く利用させて頂きました。お部屋は「富士山が見える部屋」で予約しましたが、残念ながら天候が悪く見えませんでしたので、それだけが残念でした（ホテルが悪い訳ではないが）グリーンプラザ白馬も良く利用しますが、どちらも良いホテルです。,2019-09-25
娘の結婚式の為に多方面から集まった家族と共に旅行をしました。とてもキレイな部屋や食堂だったので満足しています。露天風呂から富士山も眺めることが出来、良かったです。,2019-09-25
家族旅行で利用させて頂きました。風呂・食事など価格と比較して接客など良いサービスを受けられたのに、客室の空調設備が全館一括管理との事で暑くて辛かったです・・・。そこで20時頃フロントに相談をすると、まさかの「扇風機が用意できたらお持ちします。折返し在庫があるか御連絡しますのでお待ち下さい」との回答。なんとか23時頃まで待ちましたが耐えきれず今一度TELすると「どういった事でしょうか？」と返答されてしまいました。訳ありプランには訳があるのだと思いますが良いホテルなだけにとても残念でした。,2019-09-23
朝天気が良くなり、窓から見える富士山が素晴らしかった。スタッフの対応も素晴らしく、気持ちよく利用させて頂きました。ありがとうございます。,2019-09-23
娘夫婦と1歳の赤ちゃん、息子夫婦と1歳の赤ちゃん、それに私達夫婦の総勢8人の家族旅行でした。夕食はメニューも豊富でライブキッチンもあり、ローストビーフも美味しくておかわりしてしまいました。強いて言うなら、赤ちゃん連れだったので幼児向けのものがもう少しあればなぁってとこでしょうか。あと、帰りに持参したバスタオルを忘れてしまい、ダメもとでメールをしたらすぐに返信くださりご親切に探してくださったようで、すぐに送ってくれました。本当に最後までサービスが感じられて、今年の家族旅行の良い思い出になりました。また是非利用させていただきたいです。ありがとうございました。,2019-09-22
富士山が見えたので、よかったです。富士山が見えるか見えないか、庭園入り口のホワイトボードに書いてありましたが、タイムリーではないので見過ごしてしまう人が多いのではないかと思います。,2019-09-21
今回は娘の誕生日祝いで利用しました。部屋うちに天然の露天風呂が付いた落ち着ける部屋で家族４人で代わる代わる何度も入りました。部屋も二間あってゆったり、バイキングは三本指に入る内容で大満足しました。誕生日祝いだったので宿に伝えるなりしてもう少しサプライズした方が娘も喜んだかな。部屋からも雲は多かったですが富士山が見えました。総合力高く、研修中のスタッフの方々が多かったですがよく頑張っていました。チェックアウトが11時なのもゆったりで良かったです。また利用したいと思います。,2019-09-16
親子3世代で行きました！母はリーズナブルでバイキングが好きでまーだいたい今迄位と思ってましたが、ロビーで、ピアノの自動演奏、ウエルカムドリンク、何かとても品があって、お料理会場も広々して、ウエイターさんも凄く感じよく、料理も凄く美味しく、温泉もちょうどよく凄く気に入って良い旅となりました。天気が悪くて、富士山が見えなかったので、次回冬にまた必ず行こうね、と母と話してました。,2019-09-15
6ヶ月の赤ちゃんとの三世代旅行でした。当日の午後に急遽予約しましたが、サービスも食事もとても良かったです。赤ちゃんプランではなかったのですが、ベビー用ソープを貸して頂けました。また、食事の際にもベビーチェアを用意してくださり、赤ちゃん連れにはとても親切でした。食事は夕食のブュッフェはとても種類が多くあれもこれもと食べ過ぎてしまいました。夕食食べ終わってロビーに出たら、ピアノの生演奏もありとても癒されました。ただ…お部屋の壁が薄いのか隣の部屋の声がまる聞こえだったり物音が響いていました。また、お部屋に大きなクモの死骸があり気持ち悪かったです。,2019-09-12
母親と父親と3人で箱根旅行に行った際、宿泊しました。夕食、朝食ともビュッフェで沢山の種類の料理の中から、自分の好きな料理をそれぞれ食べれたので、ビュッフェにしてよかったです。味もおいしかったです。温泉もゆったりと入ることができました。部屋も思ったより広く、くつろぐことができました。,2019-09-09
車で伺いましたが道路からの案内がわかりづらくロープウェイの駅だと思って一度通りすぎました。15時前、駐車場に停めて入口に到着したとき外にはスタッフの方が一人しかおらず、車で入口前に到着した他の方を対応されていてどうしようという感じであたふたされていました。そのまま中に入るとロビーではすでに到着された他のお客様がたくさんいてチェックインを済ませて待ってるのかチェックイン時間になるのを待ってるのかわからず、私も座って待っていましたが(構わず入っていってしまった私もよくなかったのですが)誰も対応に来てくださらず、ウェルカムドリンクもいただくことができなかった。(ドリンクはいいとして)見回していたら受付にお客様がいたのでそれを見て私も受付に向かいました。もしかしたら女性が一人でとは思われなかったのかもしれませんが、平日とはいえせめてチェックイン開始時間にはもう少しスタッフの人数を増やすか自動ドアを開けてくれたスタッフはいたので「お連れの方ですか」等声かけしてくれたら良かったです。お部屋の浴衣以外に通路に「大小」がおいてあるとのことで「小」を手に取りましたが普段着慣れないので最初のお風呂で一度着ただけで持参した部屋着で過ごしました。ちなみにスリッパも通路の浴衣と一緒に「小」がありました。部屋のだと大きくて歩きにくかったのでどうしようかと思ってました。先に教えて頂くかお部屋の浴衣とスリッパの所にも案内文があればよかった。庭から富士山が見えるとのことですが案内はなくどこから出るのかわからなかったけど1Fを歩いているときに見つけました。１日目は曇っていて見えませんでしたが、それでも初めてちゃんと見る富士山に圧倒されました。露天風呂でも背景が真っ白になって富士山どころか何も見えず(笑)でも２日目３日目と晴れていてとてもよく見えて良かったです。夕食のお刺身とローストビーフとお寿司が美味しかった。ごはんをよそって持っていけばローストビーフ丼や天丼にできるとアレンジの提案があり、２日目はローストビーフ丼にしました。当初予定していた観光はほとんどせずに部屋でだらだらと過ごしました。予定変更は一人旅ならいくらでも。全体的にスタッフの方の対応がよくて一人旅でも(チェックインの時以外は)不安なく過ごせました。次は雪をかぶった富士山を見にまた利用したいです,2019-09-08
初の子連れ旅行に行きました！子供が3歳で有料になる前に（笑）。部屋からの眺望は、普通に山しか見えませんが、露天風呂から富士山が見えました！バイキングも、美味しくて、接客も良かったです！,2019-09-08
全体的に普通です。夕は大変美味しく満足で皆喜んでました。スタッフの方がもう少し笑顔があると良いかな〜,2019-09-07
息子が好き嫌いがあるためバイキングのあるホテルで選ぶましたスタッフの方は接遇が大変良かったです〜きっと上手に教育されてるのでしょうレストランのシステムも良くテーブルが小さいと思いましたが手際よく空いた皿を下げてくれるので大丈夫でした、色々な物を少量ずつ食べる事が出来て良かったです、味付けも濃くないために浮腫む事もなかったです、スイーツもたくさんあって大満足です今度は天気の良い日に行きたいと思います,2019-08-30
富士山スカイライン5合目を目指して出発！以前の記憶に従いドライブ、規制ありと知らずに5合目残念、天候不順の合間で山頂付近が拝めました。御殿場登山口で記念撮影、バイキング目指してホテルへ！部屋は改装され、以前より良くなっていた、孫は自作のローストビーフ丼で大満足、私達もローストビーフ堪能させて頂きました。今回は悪天候の中で富士山は何処やら、残念朝食はお粥にフレンチトーストとお腹いっぱいに、昼食抜きかな。,2019-08-29
