口コミ,投稿日
日頃のストレス解消で、誰にも気兼ねすることなくひとり温泉。お部屋も広く、お風呂も露天風呂があり最高てした。,2022-04-15
コスト削減でシンプルな運営を実現している宿と感じました。サービスは必要最小限ですが困ることはなく、清掃も行き届いており、この値段で箱根一泊２食付き温泉はありがたいと思いました。,2022-04-12
一人旅行で利用させていただきました。お部屋もお風呂も綺麗でした。布団は自分で敷くタイプでした。食事なしにしましたが、同じ階のフロアに電子レンジ、流し台がありました。豪華ではないけれど、十分な広さ設備でした。温泉の質がよく、帰ってからも一週間くらいは肌がツルツルでした♪また利用したいです。,2022-04-08
宮城野の桜を見に行く際に利用しました。館内はとても静かで落ち着いた雰囲気です。お部屋も清掃が行き届いて綺麗でした。大浴場には露天風呂もありお湯の温度も調度良くまた他の利用者の方と重なる事もなくのんびり入る事が出来ました。お部屋もお風呂もお値段以上だと思います。いい宿見つけた！って感じです。残念な点が１つ 若い男性のグループが夜12時を過ぎても大きな声で騒いでいました。楽しいのは分かりますがホテルに宿泊の際には他の宿泊者の方達に迷惑をかけない様ルールを守って欲しいなと思いました。宮城野の桜は満開で癒されました。,2022-04-06
温泉と料理の味は満足でした！が、スタッフの方の人数が少なく、どのスタッフの方の対応も笑顔がなく淡々としていて非常に残念でした。お部屋も思っていたより手狭に感じました。,2022-04-05
風呂がとても良かったです。体から硫黄の匂いが染みだしてくる程でした。女湯は乳白色の露天風呂でした。男湯は透明だったそうです。夕飯の鶏肉料理の味付けがスパシーでタイのような馴染めない味付けでした。西京焼きは中まで焼けてなく、中が冷たかったです。もう少しよく焼いて欲しかったです。部屋は広々していて、冷蔵庫もよく冷えて静かにゆっくり過ごせました。宿でロープウェイのチケットを買うと安くなるようで、次回は１日券を購入して、大涌谷を１日楽しみたいです。,2022-03-28
温泉重視で探していたところ、箱根スタイルに決めました。少し熱めだったけど泉質は良かったです。部屋も清潔感があって、朝食も美味しかったです。また泊まりに行きます！,2022-03-21
到着時に部屋が寒い、お風呂のアメニティが補充されていないなど気になる点もありましたが、お値段が安いので仕方がないのかなと思いました。出発日の朝に大浴場のシャワーが故障しており、朝から残念な気分になりましたが、フロントの方から丁寧な説明があり、気持ちよく過ごせました。,2022-03-15
おひとりさまで箱根パワースポット巡りにおすすめしたいホテルですね。また、部屋の窓から富士山と芦ノ湖が見えました。こちらのホテルから大涌谷のシンボル冠ヶ岳が見えます。大涌谷が近い為、ホテル近辺は風の流れによっては硫黄の匂いがします。私は硫黄の匂いが好きなので、凄く嬉しかったです。(喘息持ちや気管が弱い方には合わないかと思います。)またこちらの温泉も濁り湯でなかなか良い湯です。露天風呂から月夜をじっくり眺めました。と、いうわけで何度もリピートさせて下さいね。(友人にもおすすめしてます。),2022-03-15
久しぶりに温泉へ。過剰なサービスは欲していないのでここは安いし、温泉も良いからお気に入り。高齢者の仲間入りなので食事の量はこんなもので良いが、難を言えばお米の質が悪いかな。,2022-03-10
トリプルルームの広めの部屋を利用しました。閑散期なので空いていました。お風呂は露天ありでよかったです。脱衣場もきれいでした。夕飯は値段相応、残念でした。チンしてあっためるタイプ？なのか、全て食べ終わった頃にチキントマト煮が出て来てうーん、という、感じ。さらにアルコール提供無しなのが痛かった。スリッパで食堂に行くので合宿中みたいな感じ。コスパは良いのではないでしょうか？うちはもう泊まりませんが。,2022-03-01
露天風呂が綺麗気持ちが良かったです。お部屋も綺麗で広くて快適でした。テレビがアンテナ工事で見れなかったのが少し残念,2022-02-28
コロナ禍ですので、人が少ない宿を探していました。四季倶楽部は、泊まれる部屋数が少ないのと、敷地が大きいので人に会う事も少なく安心して利用できました。食事付きでもとてもお安く利用しやすかったです。夕飯の時に、座席にコースのメニューがなく、何が出てくるかどの料理で終わりかが分からず困りました。食事の中盤で配膳の方が気づいて持ってきてくれたのですが、最初から知りたかったので少し残念でした。食事の量は他のクチコミでもあったように、多くはないですが私たちにはちょうどよかったです。コスト削減のため、ホテルの方の人数がものすごく少ないので何か聞きたいことがあったりした時は大変かもしれませんが、私たちは不自由なく過ごせました。過度なサービスを求めなければ、とても良いホテルでした。,2022-02-21
おすすめ出来ます。清潔で、使い勝手もよい。温泉の質も凄くいいまた、利用させていただきます。ありがとうございました。,2022-02-20
姥子の裏側にあり、周りを木々に覆われているのでとても静かで綺麗な宿でした。部屋は広く清潔でした。お風呂も満足です。,2022-02-12
初めての宿で連泊しました。食事無しの素泊まりにしました。リモートワークついでに温泉に入れればと思い利用したのですが、10時〜15時まで暖房が切れており寒くて寒くて死ぬかと思いました。お陰で風邪をひいてしまいました。3泊目は、宿泊しないで家に帰りました。雪が降っているような時期に暖房を切るなんて考えられないです。,2022-02-11
硫黄のほのかな香りを感じながら入れるホテル。チェクインして温泉、食前に温泉、温泉に何回入れるか毎回楽しみ。私にとって食事は二の次。,2022-02-08
チェックインの日にかなり雪が降っていて、予定よりだいぶ宿に着くのが遅くなってしまったのですが、連絡したところ快く「気をつけていらしてください。。お待ちしております。｣と言ってくれました。お部屋も和室で広く､窓からは芦ノ湖と富士山が見れて絶景でした。宿の温泉は室内がひとつと露天風呂がひとつでしたがどちらも気持ちよかったです。周りに飲食店やコンビニなどはありませんでしたが､夜は星がすごく綺麗に見えました。徒歩5分くらいの姥子駅からロープウェイに乗れば、大涌谷や海賊船乗り場まですぐに行けました。また行く機会があれば利用したいです。,2022-02-04
一人で温泉に入ってのんびりしようと思い、神奈川県内でお手頃価格なプランを探したところ、こちらが出てきたので、初めて利用しました。【お部屋】宿泊客の少ない日だったからか、和室の広いお部屋を使わせていただくことができ、思う存分ごろごろ。窓からは湖と富士山が見えました。特に朝日に照らされた富士山が本当にきれいでした！ですが、暖房の効きがいいからか、ものすごく乾燥しました。(気づいたら湿度33%でした！！)加湿機能付きの空気清浄機が備え付けられていましたが、加湿機能はメインではないようで、ほとんど加湿できていなかったように感じました。濡れたタオルを3枚干してしのぎました。【温泉】大浴場は内湯と露天が一つずつ。よい湯加減で気持ちよかったです。また、こちらも宿泊の方が少ないからか、滞在中4回の入浴のほとんどの時間が貸切状態で、のんびり入れました。温泉成分等は詳しくないのでよくわかりませんが、心なしか肌がつるっとしたように感じます。地下1階なので、浴場からの景色は特筆すべきものはありませんでしたが、ちょうどよい温度と広さで気持ちの良い温泉でした。シャンプー、コンディショナー、ボディソープは浴室内にありましたが、持参したものを使いました。脱衣場の洗面台には綿棒とティッシュ、ドライヤーがありました。化粧水、乳液、ボディクリームなどは全て持参しました。【お料理】夕食も朝食もお値段相応、と感じました。食堂は社食のような設えなので、「旅行に来ているぞ」という感じがしなくて、ちょっと残念。「あ、お疲れ様でーす。」とあいさつしたくなっちゃう感じでした。【その他】他の方も書いていらっしゃいますが、近くにコンビニ等はないので、お部屋で飲食するものは持ち込んだ方がいいと思います。私はお水2Lとティーバッグ各種、豆乳、お菓子を持っていき、とても快適に過ごせました。お部屋のお茶セットは粉末の緑茶とほうじ茶が1つずつだったので、持っていってよかったです。,2022-02-03
まずは泉質が最高です！露天と内湯があり、適温で硫黄の濁り湯、熱めでクリアーな酸性湯（男女逆のよう？）で内風呂は広いです。部屋数が公表と違う？聞いたところ10部屋なので混みあう事もないです。今回は洋室確約での予約でしたが、部屋は広く清潔感もあり天井が高く全て暖色系のライト色だったので落ち着けました。ただ洋室は1室のみらしくフロントの上で景色が無し。反対側の和室は富士山ビューのようです。四季倶楽部はコスパが良いので朝食付きで利用しますが、なぜかとゆうと朝のコーヒーが飲めるから。ただ今回は薄くて味がしなくがっかり。このあたりはしっかりお願いします。それと他の投稿にもありましたが、生卵で良いのでつけてほしいかな。皆さんの参考になれば幸いです。,2022-02-02
前回泊まらせて頂きとてもまったりできたので、今回も又まったりしに行きました。　とても良かったです。　3度目も有るでしょう。とにかく静かでのんびりできます又リフレッシュしに行きますので宜しくお願いします。,2022-02-01
姥子のロープウェイの駅から五分弱。とにかくしずかな佇まいです。というか周りは何もありません。とにかくお風呂は抜群、部屋も広く綺麗です。朝ご飯がいまひとつかなぁ。,2022-01-28
温泉でゆっくりとが私のスタイル。15時チェクインし到着後温泉、食事前温泉、寝る前に温泉。朝食後に温泉。部屋も建物も綺麗で気持ちが良かったです。朝食だけがショボかったです。もう少し暖かい朝食が食べたかった。,2022-01-27
食事なしで行きました。あまり食べられないので好きな物を持って行きゆっくりと温泉に入りました。前回もそうでしたがどうゆうわけか一人分しか部品なくフロントまで取りに行きました。割引料金なのでかなと思ってしまいます,2022-01-16
年末に家族で利用しました。館内は掃除が行き届いており、とても清潔でした。露天風呂がとても気持ち良く、夕方と早朝に利用しました。体の芯から温まり、部屋に戻ってしばらく汗が止まりませんでした。食事も美味しく満足できる量と味でした。普段ご飯少なめでという家族が皆おかわりを何杯もするくらいご飯が進むおかずでした。スタッフの皆さん落ち着いた接客で、安心感がありました。過度な接客がなく、こちらが構えずにリラックスできる雰囲気でとてもよかったです。車で伺いましたが、姥子駅からすぐなのでロープウェイでの移動も楽しめました。姥子駅に置いてある昔のロープウェイがレトロで可愛かったです。,2022-01-05
こんな時期に新しい四季クラブはめずらしい。相変わらず宿泊価格が安い時と高い時のギャップが凄い。温泉も満足。,2022-01-04
20代友人複数で宿泊しました。一人1万円程度です。事前にこちらのレビューをじっくり見ましたが、自分の見解を書かせていただきます。●早割りだとコスパがいいが･･･こちらは日付が近くなればなるほど値段が高くなるので、コスパがいいと書いてる方はかなり早く予約した1万円以下の方だと思います。キャンセル料が他と比べると早めに発生するので途中で別の宿に変えようとしてる人は注意です。●食事の量少ないと書かれていましたが、普通に多くてお腹いっぱいになりました。確かに残るぐらいの量を出す他旅館と比べると少なく感じますが、残すよりかは健康的な量だと思います。味は絶品というわけではなく普通に美味しいです。●コンビニがマジでないチェックイン前に仕入れを推奨します。自動販売機は確かに安かったですが売り切れがちょいちょいあり、お酒はビールと氷結の3種類でした。●化粧水はないシャンプーくらいしかないので、クレンジングや化粧水は持参必須です。●お風呂の温度が最高あちこちの箱根温泉いってますが、お湯がほんとに最高です！長時間いても快適な温度でした。●遊具が結構ある書かれていませんでしたが、卓球・自動雀卓・カラオケがあります。1室1000円〜なので、グループで割ると安いです。●こんな人にオススメ予算1万円程度で露天風呂・飯付き・駅近を探しの方。小さい子供連れの方人が大勢いるところが苦手な方●こんな人はむかない箱根のオシャレな料亭や旅館をイメージしてる方写真映えしたい方（景色はいいですが、THE山です。）記念日や思い出・プレゼントや特別な日にしたい方●総評スタッフさんは3，4人程度の最低限で、受付と炊事場のどちらかにしかいません。メイン料理が食べ終わった後に来たり、食事場にスタッフさんがいないので呼び出しも困難でした。お部屋は綺麗で景色もよかったですが、洗面台にタオルがなかったり、お茶請けなかったり他と比べると物足りない部分が多かったです。結果的に楽しく落ち着いて過ごせましたが。安さで全てをカバーした感があります。,2021-12-28
箱根の四季倶楽部さんは、よく利用しますがここは初めての利用でした。露天風呂がいいですね。3回シッカリ入りました。四季倶楽部さんは、基本料金に対して季節や日によって高い料金設定になる場合もありますので、高めの時は他お宿も併せて検討されるとよいでしょう（高いからと言って豪勢な料理はでてきません）。私は、施設の良さ、過度の接客が無いことに満足して基本料金時に利用しますのでコストパフォーマンスの良さにぞっこんです。こちらは、周囲は何も無く自然だけですので、コンビニ等は事前に済ませてからチェックインしましょう。宿泊翌日の朝、真っ青な空に富士山が、お部屋（予約時に、富士山が見える側と希望を添えましょう）の窓やレストランからとてもきれいに見えました。お食事は、支払った金額相当ですが、アルコール料金が良心的です。スタッフ皆さんの接客もよいです。このお値段で箱根には泊まれないので四季倶楽部さんを応援しています。,2021-12-24
会社仲間4人で泊まりました。近くにロープウェイの駅もあり大変便利でした。ホテルに車を止めて大涌谷や芦ノ湖を観光して、4時ごろにチェックイン。露天風呂に入って、夕食です。夕食は少ないかなと思いましたが食べ出したらお腹いっぱいになりました。部屋も広く清潔でした。なんといってもコスパが最高です。サービスもよくありがとうございました。,2021-12-20
箱根湯本から15キロほど離れているのでとても静かでゆっくりできました。施設利用や門限が11時なのでちょっと弾丸ツアーみたいになってしまいましたがそれが静かでゆっくりできる理由なのかもしれません。,2021-12-18
部屋は10畳＋縁側で二人には、充分広かった。部屋に浴室は無いが、温泉だから部屋の浴室より良いので、必要は無いと思います。　洗面もトイレも掃除が行き届いて清潔感がありました。難を言うなら「湯沸かしポット」の電源コードの磁石部分と電源部分が錆びてくっ付きにくく、コードに触れると直ぐ外れてしまい、忘れていると外れていてお湯が沸いていない、事がありました。　浴室は、余り広くないですが、宿泊者数から考えると、普通の広さとなります。浴室の換気扇の位置が低く、浴室全体に湯気が立ちこめ視界が悪いです。換気扇の位置を一番高いところに配置し、しっかり湯気が抜けるようにしてもらえると良いと思います。　夕食の量は多くありませんが、年寄りの私たちには丁度良く、暖かいモノを食べられるように、頃合いを見て魚の煮付けなどを持ってきてもらえる気配りは素晴らしいです。　味付けも、どれも塩分糖分が過ぎること無く上品な味付けで大変美味しくいただきました。　朝食も和食でしたが、こちらも味付けは夕食と同じく美味しかったです。欲を言うなら牛乳があると良かったです。　また来年も是非利用したいです。,2021-12-07
長野からの帰りに利用させていただきました。景色も富士山、芦ノ湖がバッチリ。良い意味での過度な接客もなし、温泉の泉質も良し。そのうえ安い!!こういう所好きですね。,2021-11-26
静かな場所でした。姥子駅から近く、また芦ノ湖まで歩けました。富士山が見えるという芦ノ湖側のお部屋を指定。窓から富士山と芦ノ湖を見ることが出来て、眺めは最高でした。お料理は決して豪華ではありませんが、料金を考えれば満足です。飲み物が安くて、お酒を飲む私たちは助かりました。温泉も良く、混み合う事もなくゆっくり出来ました。コスパ最高の宿です。ただ一つ、部屋の洗面台にタオルが無かったためフロントに申し出たところ、有料と言われたのが残念でした。,2021-11-20
今回、初めて、こちらのホテルに、お世話になりました！駐車場は、広いので、停めやすかったです、お部屋も、凄く、広くビックリしました！お風呂も広く、特に、露天風呂は、最高でした、夕食も、値段が安い割には、満足出来ました！リピーターに、なると、思います。,2021-11-17
友達と行きました。部屋は広く景色は最高でした。富士山見えました。露天風呂も大浴場もいいですね。夕食は値段の割には良いです。特にクロムツの西京焼き最高です。デザートも手作りで季節の物をちゃんと出してくれてます。フロント、食堂の配膳と１人でこなしているとコメントに在った通りで大変なのに対応も良かったです。布団はセルフですが、2食付いて露天風呂まで入って一人6500円はコスパ良すぎでしょ。下手なホテル行くよりここを利用する方が断然お得だと思います。,2021-11-08
仙石原ススキ時期に一泊しました。立て付けが良くない所がありましたが(部屋カギが開けづらいなど)、キレイに掃除されていました。夕食でハートランド500mlが330円で飲め、自販機も定価です。宿にありがちな量が多すぎることがなく、味もなかなかでした。何よりも 濁り湯温泉が気持ち良いです。部屋からは運が良ければ、富士山と芦ノ湖が拝めます。滞在中に申し出れば、ロープウェイ一日券割引チケットがもらえ、お得です。最低限の人数で頑張っておられるので、余計なサービスを求めず、低予算で気楽に過ごしたい方には有りです。,2021-10-31
お部屋も清潔感があり食事も大変良かったと思います。ただもう少しお風呂に入れる時間が長いと良いのですが。露天風呂も内湯も源泉掛け流しで気持ち良かったです。,2021-10-20
箱根湯本駅から鎌倉古道を登り〜浅間山〜鷹巣山〜芦ノ湖元箱根港〜湖尻ターミナルとひたすら全歩きました。おかげで駅から５時間弱かかりましたが歩いたかいがありました！メイン通りから離れてるので静かな環境です！温泉は露天風呂があり広くは無いが時々吹く風が気持ちよく最高に癒されました。食事は量が多くは無いが一品一品が美味しく完食してしまいました（歩いてきたので相当腹減ってました）部屋は和室でしたが広くて快適でした。朝になったら目の前に芦ノ湖の一部や富士山が見えたのが良かったです！後WiFiもちゃんと使えてこれも良かったです。本当は駒ケ岳を経由する予定でしたが登山禁止らしく帰りは小涌谷までバスを使い明星岳から箱根湯本駅へ下りました。,2021-10-09
フロントの女性がとても感じが良く、安心感がありました。部屋も広く、温泉、夕食ともにとても良かったです。料理はとても丁寧につくられている印象でした。,2021-09-28
お部屋は広くて館内は綺麗です。他の四季倶楽部の大浴場だと、温泉の温度が温くてパッ!としない事が多かったですが、ここは、逆に熱めで気に入りました。ちょうど部屋の外に大きな外設機がありモーター音が苦痛の種でしたが、静かに過ごしたい方には、素晴らしい立地です。,2021-09-15
温泉は大涌谷の蒸気井泉で露天風呂がとても良かったです。リーズナブルな価格設定なのに、夕食は味、ボリュームとも満足しました。男性スタッフの料理を出すタイミングも良かったです。朝食も期待していましたが、夕食に比べると今一だと感じました。アジの干物くらいは出して欲しかったです。また、襖が痛んでいるのに補修されていなかったり、室内が臭いがしていました。朝食の改善と施設の補修をすべきと感じました。多少、金額が上がっても満足度は向上すると思います。,2021-09-11
低料金ながら、きちんと整った設備、広めの客室、清潔さなど、安心して泊まり、のんびりすることができました。,2021-09-10
観光地でありながらの、このリーズナブルな料金設定は過剰・無駄なサービスを省いた努力の上に成り立っているのだと感じます。駐車場は十分にあり、館内や部屋も広くてお掃除も行き届いて、温泉浴場も広くて、泊るにはこれで充分です。今までの旅行では、食べきれな豪華な豪華な食事や過度のサービスに勿体ないと感じるようになっていたので、このそぎ落としたサービスで十分と納得できます。,2021-09-08
9月1日水曜日 16時の チェックイン時、 前に二組 、後ろに二組　 フロントの女性一人でワンオペレーション対応。晩御飯の食事の時も、 口コミで事前に存じてはいましたが、 チェックイン時の同じ女性スタッフが一人で ご飯や 焼き魚　揚げ物と温かいものを一人で説明しながら配膳しており、 正直すごいなと思います。一生懸命頑張っているので、失礼ながら何かお手伝いできたらいいなと思いました。翌日 朝食と10時のチェックアウトも同じ女性スタッフの方に対応いただきました。 ありがとうございました、感謝です。m(_ _)m。森の中に佇む静かなロケーション　駐車場も広く停めやすく　総部屋数も15部屋ととても静か。208号室は芦ノ湖もよく見え　広く快適。 エレベーターや氷の 製氷機も近く 　動線がとても 楽でした！内湯　露天風呂とも　とても気に入り　できたら24時間入れたら嬉しい限りです。 四季倶楽部様へ是非ご検討の程よろしくお願い申し上げます。,2021-09-07
箱根スタイルには初めて泊まりましたが、全体的に綺麗でとても良い宿です。伊豆箱根バスの2日バスフリー券が二千円で発売されているので、そちらを利用したらバス停から五分もかからないようです。お食事は自分の好きなものを食べたいので持参しましたが、レンジもあったので、次回はレンジ対応食品も持参したいです。温泉に入りたい時に又利用したいです。ありがとうございましたありがとう,2021-09-06
家族で急に箱根に行くことになり、夕朝食付きでお安く泊まれるところはないかと捜していました。すると四季倶楽部の宿が６軒出てきましたが、その中でもこちらに決めたのは、６軒中露天風呂があるのが２軒、その中で部屋にwifiが飛んでいるのがこちらだけだったからです。四季倶楽部の利用は軽井沢に続いて２回目ですので、フロント・食事・清掃等を少ないスタッフで回している事は承知でした。建物の造りも私の会社の保養所と似ていて、保養所に行くんだという気持ちで伺いました。布団はセルフな事も承知していました。箱根の温泉で２食付きでこのお値段なら満足です。＜良かった点＞・夕食がおいしかった（これといった目立ったメニューがある訳ではないのですが、１品１品がおいしかったです。特に黒ムツの西京漬けがおいしかった。家族全員の意見です。）・朝ごはんが適量・広々として露天もあるお風呂・施設が綺麗・部屋に扇風機があるので、お風呂上りで暑い時も快適＜改善要望点＞・露天風呂が熱かった（お風呂の温度は好みもありますが、露天風呂は夏でも冬でも熱さに躊躇する事なく、すぐちゃぽんと浸かれる温度がいいと思っているので。部屋にお風呂の温度等々何か希望があれば言って下さいという「お知らせ」が置いてあったので、言えばいいと思うんですが、１回しか入浴しないかもしれないので。）今回は芦ノ湖・富士山側の部屋指定プランにしましたが、次の機会はしないかもしれません。食堂が芦ノ湖・富士山側にあります。,2021-09-04
箱根の温泉宿泊施設にしては、料金がお手ごろで、よかったです。温泉もかすかに硫黄泉の感じがありました。コロナ禍でアルコール提供なしが残念でした。,2021-08-29
当日急遽泊まりでの予約でしたが、2食付きで予約出来ました。価格的に豪華な食事ではありませんが、フロントや食事の世話をして頂いた男性の方々の対応がとても感じが良く好感が持てました。露天風呂も雨に打たれての露天風呂が好きな当方としては最高でした。,2021-08-29
当日予約は普通安くなるが、箱根という事でか、むしろ高かった。内容がお値段相当ならば納得出来るが、玄関入ってむき出しの靴箱にどうしたら良いか分からず戸惑っているにも関わらず、一言も声を掛けてこないフロントスタッフにガッカリ。布団はセルフでかなり苦労したし、お風呂場は脱衣場に髪の毛が落ちまくり裸足で歩きにくいほど。未就学児で大人1人につき1名まで添い寝無料なら分かるが、まさかの有料に気付かず無駄にお金を払うことになった。値段が安いならまだ我慢出来るが、高めなのにこのサービスでは納得出来ない。,2021-08-16
家族5人で宿泊させていただきました。口コミに書いてあった通りにフロントの子が食事を運んでいたり最低限の人での接客になっていましたがとても感じがよい接客でした。温泉は外風呂がとにかくツルツルで気持ちがよく3回も入りました温泉好きの私ですがお気に入りの温泉に入れさせて貰います。,2021-08-13
1人で夏休みを過ごすために宿泊しました。四季倶楽部さんの宿はいくつか泊まったことがありますが、今回の施設はまだまだ新しくて気分よく過ごせました。まだそれほど知られていないのか、平日だったためか、それとも姥子という緑深い土地柄なのか、穴場のように感じます。ですので「あまり密になりたくない」方は向いていると思います。車で行くには、姥子駅側からの道がスムーズだと思います。ナビに従って裏道から登って良くと迷ってないか？と少々不安になりますので。一人で温泉につかりながら、緑に囲まれてインターネットをしたり、のんびり過ごすにはとてもよい所で満足しました。オフシーズンだとお安く泊まれるので、その点もgoodです。,2021-08-12
仕事後、子供連れて出かけました。宿の雰囲気や部屋は清潔感があり気に入ったのですが、23時過ぎのチェックインと言うことで1200円の追加料金がかかりました。これは私の責任ですので仕方ありませんが、追加金を払ってもお風呂が２３時までなので絶対に入れませんと言われました。この辺りはもう少し柔軟な対応でもいいかなと思います。例えばチェックイン時間が遅い場合の追加金額と同じように、事情があり間に合わなかった人のために時間外のお風呂料金を設定するなどです。その必要性の理由はこのホテルには部屋風呂が無いため、子供共々、暑い中一日過ごしたベタベタな体で寝る羽目になりとても辛い思いを強いられたからです。この辺りが改善されれば施設内容に対して良心的な金額でありテレワーク需要などにも人気が出るのではと思いました。ちなみにその日の宿泊者は多くても5組くらいであったのでそう言った意味では快適でした。,2021-07-28
リモートワークが増えたこともあり、少しでもリフレッシュしたくて、急遽、近場で見つけました。お部屋は広くてよかったですが、お湯のみ一式、ちょっとホコリっぽかったのが、気になりました。窓からの富士山がとてもきれいでしたし夜空に流れ星を見つけ、感動でした。温泉は温度がちょうどよく、広くて堪能できました。夜10時半まで、朝は6時からで、時間を気にしなくてはならなかったので、ご検討いただけたらと思いました。このご時世でスタッフの方の人数が少ない？ようにお見受けし今は特に大変だと思いますが、どうか頑張って下さい。,2021-07-25
ホテル到着してからのお出迎えや受付の時スタッフさんが笑顔でとても良かったです！写真等も快く撮って頂き大満足でした。夕飯の小鉢やステーキもとても美味しく、4階バルコニー付きのお部屋からの眺めも良かったです,2022-09-30
母の誕生日兼敬老で利用しました。口コミ通り本当に素敵なお宿でした。お土産コーナーがとても小さいのと、せっかくブランド力がある宿なのでオリジナル商品の販売があったら嬉しいです。,2022-09-29
以前2年前にも利用し食事の質に満足しました。今回は夫婦40年を迎え食事を楽しみに伺いましたが前より食事の質が落ちたかな残念です。,2022-09-27
今回で2回目の利用ですが2回とも露天風呂付きのデラックスルームを選択しました。一度目は私の誕生日記念で行き、2度目は少し遅めの母の誕生日記念で宿泊しました。お部屋も広々としていて、露天風呂も一人で入るには充分な広さ。目の前には芦ノ湖が見えて、お部屋でゆっくり旅の疲れを癒すことができます。お部屋の露天風呂だけでなく、大浴場も色んな種類のお湯があり、ロビーには芦ノ湖が綺麗に見渡せて、美味しい飲み物を飲みながら足湯も楽しめます。今回2回目と言う事もあり少し気になった部分を言うと、畳が少し擦れていた事や露天風呂も前回はお湯が流してあったのに、今回はお湯が一度も流れていなかった事です。←贅沢な気分を味わいたかったので少し残念。それ以外は母も大変満足していた様子で良かったです。今までで1番良い旅館だったと言っていたので連れてきた私も嬉しかったです。私も、はなをりが大好きなので箱根に行く時があったらまた利用します。,2022-09-26
５年ぶりに宿泊しました。悪天候のシルバーウィークで混雑していたり足湯や水盤テラスも楽しめなっかったりで残念でした。お部屋は端の方だった為、移動が大変で芦ノ湖もほんの少ししか見えませんでした。清掃状況は良かったです。食事は朝夕共に特徴がなく食材も地のものを使用している感じではありません。追加料金を払わなければワカサギも食べられないなんて全然宿泊料金に見合ってないと感じました。お風呂は良かったです。お食事さえ改善されれば空いているときにまた利用したいです。,2022-09-26
眺望のいい部屋を今回は利用させて頂いた。室内も清潔感があった。但しメイン棟（フロント・お風呂・メインダイニング）へのアクセス方法、部屋までの距離が多少長いと感じた。総合的にはたくさんの顧客を収容していた割には静かで満足です。,2022-09-24
家族3人で宿泊しました。一年前、はなをりさんのファンになってから、利用は3回目。有名な水盤テラスや足湯の素晴らしさはもちろんのこと、湖畔側のお部屋だったので、部屋のテラスからの眺めが素晴らしかったです。あいにくの雨でしたが、部屋のテラスは、雨が吹き込んでくることはなく、隣の部屋との仕切りもしっかりしているので、プライベート感満載。静かな芦ノ湖の眺めをゆっくり堪能しました。食事はビュッフェスタイル。ひとつひとつ、丁寧に作られた料理がたくさん並び、どれもおいしくて、つい食べ過ぎてしまいました。大浴場も清潔感があり、タオルが自由に使えて、大満足です。是非、また伺いたいです。,2022-09-23
眺望が良いお部屋を予約の際に希望してたところ調整していただいたのか、とても素敵な芦ノ湖が見渡せるお部屋を案内してもらえました。船が行き交いとても癒されました。食事もたくさんで満足しました。部屋へ珈琲を持って行けるのも良かったです。お風呂もタオルが置いてあるので部屋から持っていかなくて済むし、アメニティも充実してました。スタッフさんの対応も良く、質問にも直ぐに答えてもらい、素晴らしいと思いました。ありがとうございました。また行きたいと思えるお宿です。,2022-09-19
家族旅行で宿泊しました。露天風呂付きの部屋は外から丸見えにならないよう木があり、あまり芦の湖が見えないようなので、せっかくなら芦の湖をゆっくり眺めたいと思い、スタンダードにしました。大人４人は狭いかと心配でしたがソファーベッドと下にマットで寝るよう、夕食の間にお布団を引いてくれていました。心配は杞憂で、４人でも十分でした。大浴場に朝５時から入り、芦ノ湖を下に、西に満月に近い月と、東に朝日が上ってくるのを同時に寝湯で見ながら、贅沢な風景だな〜と最高でした、食事もきれいでスイーツも豊富、朝のクロワッサンはとても美味しかったです。接客も感じよく、２回目にビュッフェを取りに行く時、ついマスクを忘れたら、すかさず注意を受けました。感染対策もしっかりされてるなと思いました。良い思い出しかありません。また箱根に行ったら泊まりたいです。,2022-09-15
何年か前にテレビでこちらのホテルを知り、行きたいなぁと思いつつコロナ禍で中々行けず…やっと念願叶って先日お邪魔して来ました。まずロビーに入った途端、窓の外に見える水盤テラス！その奥には芦ノ湖が見え、美しい景色が広がっていました。なのでついスマホを取りだし、写真を取ってしまいました笑笑私が泊まったお部屋は芦ノ湖側でしたのでお部屋からも綺麗な景色を見ることができ、大変目の保養になりました。浴衣は何種類からか選べる仕様で、かわいい浴衣にテンションが上がりました！サイズもしっかり揃っているので体型身長問わず選べるのではないかなと思います！そして1番楽しみにしていたと言っても過言ではない、お食事！こちらも大変満足でした！夜は小鉢の前菜ビュッフェとその他沢山のお料理が楽しめました。お味もとても美味しく、見た目も綺麗なので写真映えもバッチリです！朝のビュッフェも和と洋が揃っており、気分に合わせて選べるのがとても良かったです。温泉は大浴場だったのですが室内・露天両方あって、とても気持ちよかったです！脱衣所もとても綺麗でした！あとは別料金で個室風呂もあるみたいです♪ホテルマンの方々の対応もよく、とても気持ちよく宿泊できました。さらには建物全体の清潔感がより気分を上げてくれました。このお値段でこのクオリティは最高すぎます！箱根に来たらまた泊まりたいです！！,2022-09-14
露天付きのお部屋にご案内していただきました。部屋は広く清潔感がありました。夕食のメニューは種類が少なく感じましたが、見た目はおしゃれで味も美味しかったです。大浴場もとても良かったです。また利用したいです。,2022-09-13
桃源台駅からすぐでわかりやすかったです。内湯つきの部屋でゆっくり過ごせました。ただ、フロントから遠い客室で最初は少し部屋まで迷いました。朝食も夕食もとてもおいしかったです。,2022-09-12
