Unnamed: 0,口コミ,投稿日
763,朝食付きプランでの利用でしたが、ホテルの部屋はビジネスホテルでよくあるタイプ、といった感じで可も無く不可もなくといったもの。夕食はスープはおいしかったけれど、全体的に普通。パンのおかわりを伝えても忘れていたのかいつまでたっても持ってこなかったり、帰り際に部屋で飲むための飲料水のポットを下さいと言ったら「ポット・・・？少々お待ち下さい。」と言われて5分程待たされた後、銀ポットを直接手渡し・・・。部屋に後で運ぶといったサービスがあってもいいように思いました。家族旅行などで格安プランを利用するのには良いかもしれません。,2010/8/30
764,八月下旬平日に友人と二泊したのですが、良い思い出を作る事が出来ました。バイキングの朝食は種類が豊富で、和食洋食どちらも美味しくいただけます。浴場は広々としており、しかもタオルが使い放題と言うのには驚きましたね。部屋はツインルームだったのですが、三人居ても問題ない広さです。清掃もきちんと行き届いてました。交通面に関してはやや不便ですが、最寄りのバス停まで送迎バスがありますので、これも問題なしです。残念だったのは、テレビの映りがあまり宜しくない事と、ハーゲンダッツの自販機が故障中だった事(笑)仙石高原の夏は比較的涼しいので、夏はこのホテルをお勧めしたいですね。また泊まりたいホテルです！,2010/8/30
765,箱根には数え切れない程、旅行で訪れていますが、最近の宿泊はもっぱら大箱根です。何が決めてかと言うと部屋の天井が高く、広々としてる事と内装も落ち着いていて、ホッとしますね。又、是非利用したいと思います。,2010/8/29
766,翌日のゴルフコンペのために夜8時半ごろにチェックインし、翌朝もちょうど午前8時半にチェックアウトしました。一番嬉しかったのは大浴場が24時間入れる(午前11時から午後2時までは清掃時間とのことでクローズ)ことでした。姥子温泉で、水質は無味無臭で透明。加温、加水されていました。アメニティは充実していましたが、浴槽、洗い場、脱衣場などは少々古く、オーソドックス。窓の外が何も見えなかった夜よりも朝、緑豊かな外の景色を楽しみながら入ることができました。朝食は和洋食のブッフェで、豊富なディッシュ数です。おにぎりも目の前で作ってくださいました。朝はしっかり召し上がりたい方にお勧めです。,2010/8/28
767,夜8時過ぎに当日予約で宿泊させて頂きました。お部屋も綺麗で、お風呂場にﾒｲｸ落としや化粧水など、女性には助かりました。部屋はたまに隣の部屋の笑い声などが聞こえてきましたが、そんなに気にはなりませんでした。小さなﾍﾞﾗﾝﾀﾞにも出れて朝、外の景色を見たらｽｺﾞｸ綺麗でした。彼も気に入ってました。また機会があったら利用させて頂きます。,2010/8/26
768,安いプランだったのに、広々とした部屋でびっくり。部屋からはゴルフ場のグリーンが、とても綺麗に見えました。バスルームはレトロな感じのつくりで、部屋同様広々としていました。部屋のシャワールームの排水口が良くないのか、使った湯水がたまってしまったのが少し残念でした。いいお部屋だったので、チェックアウトの時間が遅いプランにして、もっと長くステイしたかったと思いました。,2010/8/26
769,娘、孫と共に宿泊致しました。以前にゴルフで散々利用したホテル、ゴルフ場に孫と訪れる事が出来、感慨深いものがありました。フロントの方々はじめショップの方も親切で気持良く過ごす事が出来ました。当日は数日後に行われる大きなゴルフトーナメントを控え、テレビ局の方達の貸切ルームが多く、孫達が楽しみにしておりましたランチが頂けなかったのが残念でした。車で一時間の湘南に住んでおりますが、ゆっくり箱根を満喫致しました。「来年の夏休みも此処にお泊りしたい！」との孫からのリクエストに応えるべく来年も伺いたく思います。,2010/8/25
770,当日の夜に調べて予約しました。ゴルフ場の用にあるといったホテルで周辺には何もありませんが部屋は広く高級感もあり，内風呂と大浴場（温泉）の二つがあります。芦ノ湖やアウトレット利用の人にはいいと思います。妻と二人で満足して帰ってきました。,2010/8/24
771,予想より大変満足できました！また機会があれば利用させていただきます☆,2010/8/23
772,朝食のレストランは眺めもよく、さわやかに朝食を楽しむことができました。,2010/8/21
773,毎年親子２人で利用しています。近くに行きつけのお店もでき、夏の箱根を満喫しています。リーズナブルな料金で観光の拠点として最高の場所です。また来年も利用したいと思っています。,2010/8/19
774,部屋から見える箱根の山々とベッドサイドから流れる素敵なBGMで日々の疲れが癒されました。脱衣場にあるお水飲み機は砂漠のオアシスです!!部屋のカードキーは持ち帰り、二人の思い出の品となりました。,2010/8/19
775,とても綺麗な所でした。バス停から少し遠いので送迎があると良いと思います。カードキーなのは よかったです。,2010/8/19
776,箱根へ行こう！と急遽思い立ち、前日に予約。夏休みで空いてるお宿があまりなく、空室のあったこちらに予約を入れました。直前にあわててとったので正直あまり期待していませんでしたが、結果は大満足でした。とても清潔で、ゆったりとしたお部屋、心地よくすごすことができました。スタッフの方の対応も丁寧でとてもいい印象でした。ただホテル周辺には何もありません。今回は電車とバスで行ったのでちょっと大変でした。バス停までの送迎や観光名所までのシャトルバスもあるようですが車の方がよさそうです。,2010/8/19
777,今回初めて宿泊しました。静かでゆったりとした時間が流れるホテルでとても満足しました。朝食もバラエティーに富んでいて良かったです。1つ残念なのが禁煙の部屋をお願いしていたのですが、消臭対応の部屋となり。外からタバコの臭いが部屋に入ってくること、さらに廊下もタバコの臭いのが残念でした。次回も泊まってみたい宿が増えました。,2010/8/18
778,富士山観光の後、宿泊させて頂きました。夕食が満席で19：30からと待たされましたが、料理もお部屋も価格から考えれば、十分でした。特に朝食のバイキングは、満足でした。お風呂は広くはありませんが、平日で空いていた為、ゆっくり出来ました。,2010/8/17
779,お盆期間に２泊。部屋は広め、目の前はゴルフ場、バストイレの換気扇がなぜか回らなく臭いがこもりがちだった。夕食は洋食のコースか和食の会席かしゃぶしゃぶ鍋から選べ、値は張るがいただいたお肉は柔らかかった！朝食はバイキングで和食・洋食メニューが豊富、お腹いっぱいおいしくいただきました。お風呂は姥子温泉。露天はなかったけど広めの大浴場で癒されました。またぜひ泊まりたいと思う広くてきれいなホテルでした。,2010/8/16
780,公共交通機関で行きましたので、少々歩くことになりましたが（10分ほど）、森の中にあるホテルといった趣で、歩いてきても悪くない感じでした。部屋は少々古いので絨毯などのくすみは気になりましたが、清潔感はあるようです。部屋においてあるタオルはふかふかで良いのですが、ゆかたは生地が薄くなってぺらぺらしていたのは、気になりました。温泉は明るいうちに入ると見晴らしも良さそうです（緑でいっぱい）タオルも使いたい放題です。夕食は今回の宿泊のセットものなので、まあまあといったところ。朝ごはんはバイキングで和食・洋食ありです。和食をチョイスしましたが、お米は美味しかった。総合的には静かなホテルでゆっくりできたので満足。売店は夜9時にはしまっていたのでもう少し遅くまでやっていたらよかったなあと思います。,2010/8/16
781,夏休みに彼と二人で泊まらせていただきました。急に決まった旅行で宿が他にとれるところがなく、正直不安だったのですが予想以上によかったです。周りになにもなく、他はゴルフをしにきた方ばかりでしたが、逆に静かで癒されました。ただ、お風呂が少し残念でした。大浴場のアメニティはとシャワーはなかなかいいもので、24時間入浴できタオル使い放題で手ぶらでいけるのはとてもよかったのです。が、お風呂場に鏡がほしいなぁと思ったのと、髪の毛が沢山落ちて不快だったのと少し古いという印象をもちました。夕食のないプランだったので、近くでご飯を食べるところや観光地を聞いたのですがスタッフの方がとても親切にしてくださったのが印象的でした。夜、急にテレビが砂画面になるというハプニングもありましたが、全体としていいホテルでした。ありがとうございました。,2010/8/15
783,お盆休みに彼と朝食付きで一泊しました。ゴルフ場のホテルという感じはありましたが、料金的にも満足です。窓からの景色はゴルフ場の緑一面で、ゴルフが趣味の私達は癒されました。また利用したいと思います。,2010/8/15
784,緑いっぱいの景色の中、穏やかにすごせました。朝食もおいしく、おふろも気持ちよく入れました。タオルをたくさん用意されていて、ありがたかったです。お値段のわりに、かなり良かったのでまた泊まりたいくらいです。館内が静かの為、隣の部屋のお子さんの声が聞こえましたが、うちも子連れだったのであまり気になりませんでした。お庭を少し散歩しましたが、子供が遊べるスペースは全くなかったので、娘は少しものたりないようでしたが。親は大満足できました。,2010/8/15
785,連泊したのですが朝食も内容がかわってて満足で部屋に入りバス・トイレ洗面所とベッドとの段差がありちょっとしたメゾネットのようでよかったです。,2010/8/14
786,大変気に入っているホテルなので何回も利用しています。母（８２歳）と二人で利用しました。お風呂が部屋から近くて母も喜んでいました。部屋から見るゴルフ場の眺めが大変よく、真夏でも朝晩は涼しい風がふいてとても気持ちいいです。朝食のバイキングメニューも５０種以上で和食洋食どちらもそろっていて大変おいしかったです。ゴルフ場の練習場も周囲にネットがなく250ヤード以上あり開放感抜群でとても気持ちよく練習できます。温泉も姥子温泉で目に良いらしいので気に入っています。また機会を見つけてこようと思っています。,2010/8/14
787,母と妹と利用させてもらいました。まず、高原の涼しさに驚きました。夜はエアコンなんて要らないくらいでした！毎日、猛暑で疲れた体には最高のホテルでした。あと手ぶらでも大丈夫な温泉！なんでも揃っているのは楽チンでした。露天風呂がないのは残念ですが、大変気持ちのよい大浴場です。特筆すべきはやはり、朝の雄大な景色ですっ！！一面緑の山に囲まれてベランダにでて朝の新鮮な空気を吸いまくりました(笑)ゴルフだけではなくテニスコートもあったので、ぜひまた宿泊したいと思います。,2010/8/13
788,台風が移動している大荒れの天気にお邪魔しました…。車ではなく、バスでの移動でしたが最寄のバス停までホテルの送迎が来てくださったのでとても助かりました。バス停到着後にホテルに電話したところ、数分ですぐに来てくださいました。帰りも利用させていただきました。部屋はとても広く感じました。紹介ページに掲載されていた風景が本当にそのまま見えたので思わず「わー！！」と喜びました。お風呂も基礎化粧品やシャンプーリンスなどももちろん揃っていたのでありがたかったです。ただ、床に落ちている髪の毛がほんの少しあるな…。という感じでした。夕食はセットに入っていなかったので利用していませんが、朝食は利用しました。部屋とはまた違った風景を見ながらのんびり食事をしました。また機会があれば利用させていただきたいと思います。良い夏休みが過ごせました＾＾,2010/8/13
789,突然箱根に行こうと思い、直前でしたが、まだ空きがあり、温泉があるリーズナブルな宿という事で予約しました。当日は海賊船が止まる程の悪天候で、ずぶ濡れになり、予定よりも早いチェックインを希望したところ快く受けて下さりました。夕飯は洋食のコースでとてもおいしく、朝食はバイキングでとても満足できました。温泉も広くはありませんが、他のお客さんがいない時間帯だったようでのんびり入ることができ、満足できました。浴場にタオルを沢山用意して下さっているのも有り難いです。お部屋は安いプランだったので一番下の階でしたが、部屋は程よい広さで、目の前に広がるゴルフコースも綺麗で、満足でした。外観も綺麗でしたし、値段からいって、何の文句もありません。お世話になりました。,2010/8/13
790,はじめて箱根旅行をしました。ホテルの入口がわからなかったところ、電話で丁寧に教えてくれました。チェックインが遅くなると電話で伝えた時も、親切な対応で良かったです。朝のバイキングは、種類が豊富で、特にホットケーキのトッピングにホイップがあったのが、生クリーム好きの私には嬉しいサービスでした。ただフロントの方達がもう少し笑顔でいてくれたらいいな、と思いました。,2010/8/13
791,彼女とふたりで素泊まりプランで利用しました。フロントの対応、部屋もきれいで満足できました。大浴場にはバスタオルとミニタオルが設置してあり手ぶらで行けるのはよかったです。また行く機会があったら利用させていただきます。,2010/8/13
792,価格が安いのにとても綺麗なホテルで大満足でした。箱根に行く際はまた利用させていただきますのでよろしくお願いします。,2010/8/13
793,当日予約で夜に到着して、周りが真っ暗だったのでホテルの前を行き過ぎそうになりましたが、朝起きてよいお天気で景色にびっくり。お部屋の前がゴルフ場で爽やかな景色。朝食をとるレストランからの景色がまたとても素敵でした。朝食もとても種類も豊富で、とてもおいしかったです。とても素敵なとてもよいホテルでよかったです♪今度はゆっくりと計画して、ぜひまた泊まりに行きたいです♪,2010/8/12
794,利用日のギリギリにネットから予約しましたが、ホテルの方の対応もよく安心しました。感激したのは、大浴場にバスタオルと浴用タオルがつんであり自由に使用できたことで、最高のサービスでした。温泉だと朝晩２回は風呂に入りにいきますが、そのたびに新品のタオルを使用でき気持ちよく過ごせました。ただ、部屋についていたユニットバスが使用もしていないのに嫌な匂いがしたのは少し気になりました。でもそれ以外はとてもよかったのでまた是非、泊まりたいと思います。ありがとうございました。,2010/8/12
795,御殿場ﾌﾟﾚﾐｱﾑｱｳﾄﾚｯﾄを目的に出かけたのですが、急遽一泊することになり、当日予約しました。21時までｱｳﾄﾚｯﾄを満喫してから22時前にﾁｪｯｸｲﾝ。遅かったので館内に食事ができる場所は既に無く、最寄りのｺﾝﾋﾞﾆで調達しました。部屋は比較的広く、景色も良かったです。温泉も清潔で、ｱﾒﾆﾃｨが充実していました。ﾌﾛﾝﾄで教えていただいたｶﾞｿﾘﾝｽﾀﾝﾄﾞがその日定休日だったのが唯一残念でした。,2010/8/11
796,素泊まりプランでした。昔からあるホテルのわりに、古さを感じさせず高級感がありました。時間の都合上食事は食べられませんでしたが、ちゃんと旅行した気分を味わえたホテルです。,2010/8/11
797,初めて宿泊しました。部屋から隣接のゴルフ場と山が一望でき周辺は、とても静かです。今年は猛暑なので避暑地としては、オススメの場所です。夕食は雰囲気の良いレストランで、牛肉ステーキをチョイスしましたが、美味しかった。ワインを別注文しましたが、値段が高めでした。ハウスワインなどリーズナブルなクラスのワインがあるといいですね。あとは翌朝、御殿場アウトレットに一番乗りで行くことができました。車で20分ぐらいだったかな。,2010/8/11
799,初めて利用しましたが、大変快適でした。部屋も温泉も朝食も大満足です！のんびりとしていて、子供が騒いでいる感じもなく、大人がゆっくり過ごせる箱根というのが一番気に入りました。何度でも利用したいと思いました。,2010/8/9
800,予約していた部屋が空いてなかったので、その部屋よりも広い部屋に泊まることができたのですがとても広くて設備もすごくてびっくりしました。外が見渡せるような壁一面の窓はとても景色がよかったですし、部屋風呂もシャワーとお風呂が別になっていたりとても立派で広かったです。大浴場はそこまで広くはなかったですが温泉だし、アメニティ類も揃っていてタオル類も部屋から持っていく必要もなく、鍵も暗証番号で預けることができるロッカーがあったので本当に手ぶらでいけるように快適でした。接客もしっかりしていて細かいところまで配慮していただき、とても気持ちよく過ごすことができました。,2010/8/9
801,遅い時間のチェックインだったが、カーナビの案内通りで迷わずに到着できた。部屋は２階の普通のツインルームで思ったよりも広くテラスもあり快適に過ごせた。ただ、ベッドのマットレスが自分に合わずなかなか寝付けなかった。温泉自体は加水、加温、循環のフルコースでイマイチだったが、洗い場が広くシャワーヘッドにフリオンが使われていて感動した。朝食はまあまあだった。,2010/8/8
802, 朝食付きのプランで利用させて頂きました。高齢の母が急に箱根に行きたいと言い出しましたので、当日予約で宿泊しました。建物全体は古くなってきましたが、全体的には清潔感もあり、お風呂も気持ち良かったです。朝のバイキングはとても内容的にも味にも満足しました。最近多い、一年同一料金朝食付きのグループ宿より、大変お得な気がします。またこの料金なら利用したいです。,2010/8/7
803,ホテルの雰囲気やサービス、部屋の綺麗さ、とても素敵でした。大浴場も、清潔で、設備も整い、大満足です！！バス停からは、思った以上に遠かったです。（自分の確認不足で、送迎バスを手配してくれるサービスを知らず、行きは歩いてしまいました。）真夏や、遅い時間でない限り、仙石原の自然や、綺麗な別荘地？を見ながらのんびり歩くのもお勧めです！！ 今度は朝食をつけて、楽しみたい。,2010/8/6
804,朝食のみのプランでしたが、朝食がバイキングで大変おいしかったです。特にホットケーキがとても柔らかく美味しかったです。お部屋も広くは無いですが、小さいながらも専用のベランダがあり、朝の外の景色はとても良かったです。また、機会があれば泊まりたいと思っています。,2010/8/6
805,中学生の息子と、受験応援を兼ねて夏休みの旅行でお世話になりました。送迎のバスをみるまで、プリンスさんって気付かず‥。ホテルの雰囲気、スタッフ、食事（朝、夕）どれも満足で 居心地が良かったです♪夕食事時、子供に応援のサプライズをしたく‥急なお願いにも快く受けて頂きました。お陰様で、子供も喜んでくれました。実は先月、大磯と箱根プリンスに泊まらせて頂いたのですが、大箱根さんが一番でしたｮ(^-^)これからも、気品と温かさを兼ねた、居心地のヨイホテルでいて下さいネ！ありがとうございました。,2010/8/5
806,彼女の誕生日に宿泊しました。あいにくの大雨だったのですが、朝起きて窓を開けた時の景色には皆さんのコメントにあるとおりビックリしました。見渡す限りの緑で晴れていたらとても気持ちいいものだろうなと思います。朝食もバリエーション豊富で良かったです。これであの価格帯だったのでとても満足です。箱根に行くときはまた利用したいと思いました。,2010/8/4
807,案内が丁寧で助かりました。ｽﾞﾎﾞﾝﾌﾟﾚｯｻｰもわざわざ持って来てくれて恐縮でした。,2010/8/3
808,対応良くまた利用したいです。ｺﾞﾙﾌの宿の利用ではなく、普通に楽しめる宿でした。,2010/8/3
809,以前より気になっていたホテルでアフター7プランで安く利用させて頂きました。予想通り高級感があり素晴らしかったです。しかし残念なことにホテルの問題ではないのですが隣の部屋の方がうるさくて大声、壁の叩く音が深夜1時まで続いており寝られませんでした。ハイクラスホテルで宿泊者もそれなりの方と思いましたが違いました。今回は残念でした。,2010/8/3
810,母親、いとこ、いとこの母親と自分の4人で利用しました。ホテルまでは、最寄のバス停から歩いていけない距離ではないのですが、電話一本で送迎していただけました。ホテルについてから、フロントで夕食の相談をしたところ、レストランのコース料理か、外食になるとのことでした。外食といっても、あまり近くにはないようです。が、団体客がいる為、時間の指定もできず、ちょっとおなかがすいてしまいました。コース料理はおいしかったです。部屋はツインを2つとっていたので、ちょうどいい広さで、ゆったり過ごせました。お風呂も夜遅くまで、朝早くからやってるので、問題なし。清潔感もありました。空調もよく、のどが痛くなることもなかったです。朝食もバイキングで、オムレツをその場で焼いてくれるコックさんがいて、アツアツを食べることができ、おいしかったです。とてもいい雰囲気のホテルでした。,2010/8/2
813,仕事上、連休が出来ない友人の為に、休日前の仕事終わりに出発し深夜にチェックインが出来る宿を探し、大箱根にしました。おかげで東京を21時に出発し23時にチェックイン出来ました。部屋は思っていて以上に広く清潔感があり、窓からの景色も最高でした。翌朝11時まで使用可能な大浴場もあり、日頃の疲れも癒す事ができました。だだ製氷機やエレベーターの故障があり、思った以上に歩いたり別フロアへ行ったりと･･･。翌朝もバイキングに施設のスリッパで向かった所NGで出戻りなど･･･。スタッフさんの一言も「スリッパはご遠慮させてもらいます。」とちょっとキツ目に言われた気が･･･。まぁそんな感じでしたが、中々深夜入れる温泉宿が無いのでOKでした。欲を言えば露天風呂があれば文句無しのホテルでした。,2010/7/28
815,今回初めて利用しました。お部屋は幸運にもグレードアップして下さりツインルーム B (50.5m2) の広いお部屋でした。目の前のゴルフコースのグリーンもとても綺麗でした。大浴場はあまり広くはありませんが部屋のバスルームが広くて良かったです。,2010/7/27
816,２度目の宿泊です。箱根でこのお値段で泊まれるのは、本当に魅力的です。特に小さなベランダがいいですね。わたしは窓が開かない部屋が苦手なので、これはポイント高いです。あと、部屋に入ると毎回小さな折り紙が飾ってあって、上手に綺麗に折れているときも愛嬌のある形をしているときも、どちらも一生懸命さが感じられて何だか微笑ましいです。さりげない心遣いが感じられていいですね。,2010/7/27
817,当日予約で、朝夕２食付の超格安プランでしたので、正直かなり不安でしたが、結果、大満足でした。ホテル到着時から研修生の女性二人に出迎えて頂き、チェックインまで少しロビーでお茶しながら待ちましたが４時半には部屋に入れました。夕食は予想以上の本格ディナーでしたが、小さな息子が声を出しても他のお客様も含め皆さん寛容に見て頂きました。朝のビュッフェのメニューも十分満足いくものでした。さすがに部屋は１Ｆで眺望は目の前のゴルフ場だけでしたが、広さも十分。翌朝、子供が体調を崩したのでチェックアウトを遅らせて貰いましたが、この時の対応も、とても親切でした。最後も玄関外まで笑顔で見送り頂き、大満足で帰ってきました。,2010/7/27
818,今回は朝食付きプランで宿泊しました。館内はヒーリングBGMが流れ、ベランダからはゴルフ場と箱根の外輪山が一望でき、リラックスできました。幼児連れの宿泊だったので子供にあわせて食事をしてチェックインできて、周りに気を遣わず楽でした。強いていうなら子供用の浴衣、寝具などさりげなく置いてアルとポイント高かったかも。,2010/7/25
819,部屋が広くて良かったです(間取りが特に気に入りました)。ホテル全体の雰囲気は落ち着いていてゆっくりゆったり過ごせました。朝食も美味しくいただきました。お風呂も混雑する時間帯を避けたためゆっくり入れました。タオルが用意されているのはとてもイイです。チェックアウト時のフロントの対応は遅かったです。また１０時過ぎ位にカードキーが使えなくなったことが疑問でした。,2010/7/22
820,母と二人で利用させてもらいました。ｺﾞﾙﾌ場と併設ということもあり周りにも利用してる方が沢山いたのでいいﾎﾃﾙだというのは聞いていました。部屋からの眺めも良かったです。ﾃﾚﾋﾞが未だにﾌﾞﾗｳﾝ管なのは意外でした。朝食のﾊﾞｲｷﾝｸﾞも満足でした。ただ唯一、大浴場が定期的に掃除がされていないので(24時間中１度だけ)洗面台、床、洗場共に綺麗になっていないのが残念でした。あと部屋の中で携帯の電波があまりよくないです。特にiPhone。ﾌﾛﾝﾄだけはwi-fiが入ります。,2010/7/20
822,思いつきの箱根一泊旅行に「【最大半額】約50種類の和洋朝食バイキングサービス」プランで宿泊しました。直前の予約だったので、何も考えずホテルを決めましたが、いざ着いてみると広い部屋と充実した設備にとても驚きました。朝食は種類もたくさんあり、部屋から見えるゴルフ場の眺めはとても綺麗でした。温泉に関しては大浴場のみで、温泉目的で宿泊される方には不向きですが、観光目的で泊られる方にはとてもいいホテルだと思います。,2010/7/20
823,豪華朝食バイキング付きプランで一泊させていただきました。お風呂は大浴場が一つしかなく少し残念でしたが、昼間の景色はステキでした。（夜は何も見えませんでしたが…。）朝食は、普通のバイキングでした。お部屋は、ステキでしたが、朝カーテンを開けると、ゴルフをしている男性がかなり近くにいてビックリしました。,2010/7/18
824,最初から最後までさりげない気配りと丁寧な接客をしていただけ、特に子供が夜中に熱を出した際にはいろいろと親切な対応や声かけをしてくださり、素敵なスタッフの方々にまたお世話になりたいなと思いました。お部屋はゴルフ場の目の前で、高層は景色が良さそうですが、今回は残念ながら地面スレスレの階で朝早くから窓の前に人影が…。観光目的の我々は特に不便を感じることもなく、かえって温泉まで近くて快適に過ごせましたが、お部屋で寛ぎたい人にはカーテンも開けられず、低層は向かないですね。設備の古さを感じさせないくらい掃除や手入れが行き届いていましたが、絨毯のシミや汚れが多くて、それだけがちょっと気になりました。朝食のバイキングは正直期待していなかったのですが、思いがけずおいしくて景色も良く、一日の始まりに元気をいただきました。箱根に行くときは、またお世話になりたいです。ありがとうございました。,2010/7/17
825,遅いチェックインでも、対応が良く好感が持てました。朝食バイキングは満足のいくものでした。平日の特別プランとはいえ、この値段で泊まれて十分満足しました。,2010/7/17
826,たくさんの人数で申込みしましたが、途中で宿泊日数の変更になった人が数名いて、イレギュラーの予約になってしまいました。とても丁寧に対応してくださり、全くトラブルなしにチェックアウトできたので、みな、満足しています。また、当日深夜になって急遽宿泊したいという希望にも、予約担当が帰宅後だったのですが、すぐに快く対応してくださりとまることができて助かりました。ホテルは設備も大切ですが、やはり接客してくださるホテルマンの質が大切だなあと思いました。,2010/7/14
828,よかった。,2010/7/14
829,彼と泊まりました。夕食はプランのフランス料理で、ゆったりと食べられました。私には丁度良かったけど、彼には少々量がたりなかったようですが・・。特に連絡はしてませんでしたが、デザートに誕生日プレートのサービスの心遣いがうれしかったです。部屋も広くてゆったりと過ごせましたし、近くの美術館まで送ってもらえるサービスが助かりました。,2010/7/13
830,素泊まりで利用しましたが、料金も安く、部屋もきれいで申し分ありませんでした。お風呂はタオルが山積みにされ、使い放題です。サウナもあればさらに良かったですが、この値段なら十分満足です。,2010/7/12
831,友達との旅行で利用させてもらいました。仕事終わりで夜に到着しましたが、親切に出迎えてくれて、ホテルも部屋も広々としていてとてもよかったです。こんどはぜひ夕方からチェックインして夕飯も食べてのんびりしたいと思いました。,2010/7/12
832,日帰りで箱根に行き、急遽じゃらんで検索して「ホテル大箱根」に宿泊しました。とても素敵なホテルなのにこの価格は驚きでした。お風呂もきれいでアメニティも充実していました。ほんとに身ひとつで行っても安心のホテルです。部屋も広く見晴らしも良かったです。ただクローゼットがこもった匂いがしたので利用しませんでした。朝食は利用しませんでしたが、いただくとことの景色が非常によかったので次回利用するときにはぜひ朝食付きで泊まりたいと思います。,2010/7/12
833,母娘2人旅で利用しました。宿に到着して驚いたのがロビーとお部屋の広さです。贅沢な空間使いにリッチな気分が味わえました。お風呂は露天風呂がなく、さらりとした泉質の無色無臭温泉と、温泉を楽しむには物足りなさを感じましたが、アメニティーの充実ぶりに驚かされました。タオル、バスタオルは使い放題、洗顔料や化粧水などのコスメはPOLA化粧品で統一されており、プチエステ気分を得ることができました。今回、朝食なしの素泊まり利用でしたが、チェックアウト時に見えた朝食バイキング（大人2100円）がとても豪華で、次回利用することがあれば是非つけたいと思いました。,2010/7/11
834,夜到着が遅くなる予定でしたので、手頃なお値段のこちらのプランを利用させて頂きました。お値段が安いのであまり期待せず行ったのですが、出迎えの応対も説明も丁寧で、こちらが恐縮してしまいました。もっと長い時間ホテルに居れるよう早い時間に来れば良かったな〜と思いました。お風呂は内風呂の大浴場がありましたが、この値段では申し分ないと思います。アメニティーの多さは、女性にとって嬉しく思いました。ただ夜中に入った為か、脱衣場のところが髪の毛とかで汚れており、清潔感がないのが気になりました。昼間はどうなのかわかりませんが・・・また箱根に行った時は、是非利用したいホテルです。,2010/7/10
835,箱根でゴルフ後、ゴルフ場と同系列の当ホテルへ宿泊致しました。ロビーからも、モチロン部屋のテラスからも隣接するゴルフ場が一望でき、非常に開放感がありました。新鮮な芝の香りがリゾート気分をより一層盛り上げてくれます。又、これだけ大きなホテルなのに、温泉までは浴衣で往来できる事。そしてタオル等も１人一枚でなく浴場に積み上げてくれてあるのも余裕を感じました。都合で、朝食を頂けずにホテルを後にしたのですが、次はゴルフ場を眺めながらの朝食も取ってみたいと考えています。。。,2010/7/9
836,６月に、彼氏と一緒に行きました。素泊まりのプランだったのですが、部屋も落ち着く雰囲気で、何より朝の窓から見える広々としたゴルフ場と山々が、キレイで開放的で、旅行に来た気分を盛り上げてくれる素敵なホテルでした。お風呂は露天はありませんが、大きな窓があるので、広々とした雰囲気でした。値段も格安で大満足です。,2010/7/8
837,夜、体調が悪かったので、あまり満喫できませんでしたが、遅めのチェックインでリーズナブルなお値段で宿泊できるのはとっても良いと思いました。お風呂も広くはありませんが、平日の朝ということもあり、貸し切り状態でゆっくり入れました。,2010/7/6
838,彼女と二人で夕食なしの６５００円のプランで７月の頭に利用しました。とても高級感のあるホテルでしたが温泉は小さく一つしかなかったのが残念でした。朝食は種類も多くとても美味しかったです。,2010/7/5
839,今回初めての宿泊でした。部屋はツインでとてもいい感じのところです。朝食もバイキング式で、ボリュームたっぷりです。また泊まりたいところです。箱根や御殿場に行くにも良いです。,2010/7/5
840,2度目の宿泊です。安いのでぶらっと行ってみました。部屋がカビ臭かったですが、箱根観光での利用ならば、19時のインでこの値段ならすごくいいと思います。あえて言えば、空調の温度調節が微妙で寝苦しかったこと。ゴルフを楽しみながらお風呂に入って…の感じならいいのでは。温泉は露天はないけど、すいているので満足。更衣室の鏡の位置が高いので、髪の毛など乾かしにくいのですが、お水も置いてあるし、総合的には普通に満足。ゴルフ場なので、朝のお風呂の時、遠くに人影が見えるのでのんびり〜な感じにはなれないけど…あと、更衣室のお掃除、夜にもう1度あるといいですねぇ。前回は静かにのんびり出来たのですが、今回は、ゴルフのお客さんがいた様子で、朝早くから部屋の外が騒がしかったで落ち着かなかったけど…。,2010/7/5
841,素泊まりだったので、、値段も納得。,2010/7/5
842,彼と一泊しました。予算もあまり余裕なかったけど…朝食ﾊﾞｲｷﾝｸﾞも豪華で〜部屋も丁度いい広さでした。ﾁｪｯｸｲﾝした日は大雨で外に出る事は出来なかったけど、窓からの景色は緑一色で仕事の疲れも癒されました。梅雨もあってか、部屋全体が湿気が多かったです。じゅうたん、布団も湿気が気になりました。小さい除湿機でもあれば良いなぁ〜と思いました。スタッフの対応も良くて気持ちが良かったです。,2010/7/5
843,彼と二人で宿泊しました。部屋は広々としていて快適でした。ゴルフ場がベランダからすぐそこ！だったので芝生の緑がとてもきれいでした。お部屋には大満足です。ドライヤーが古い設備だったので、風が弱く使い物になりませんでした。そこだけが残念でした。今回は大浴場に行けずに帰ってしまったので次回はぜひ利用したいです。,2010/7/4
844,チェックインの時に夕食は８時ごろという話だったので、８時までに部屋に戻れるよう早くお風呂に入ったものの、なかなか電話がなく、待たされた気分でした。が、久しぶりのコースディナーと接客に満足。とっても美味しく、お腹は苦しく（笑）楽しい時間を過ごすことができました。お風呂は露天はないものの窓が大きく、今度は雨の降ってないときに泊まりたいと思いました。,2010/7/4
